Business ID,Name,Latitude,Longitude,Category,Rating,Popularity,Google Place ID,Business Status,Distance (m),Cluster,generalCategory,Religious Institutions,Coffee Shops,Food & Dining,Restaurants,Home & Construction Services,Entertainment & Recreation,Retail & Shopping,Finance & Services,Education,Health,Public & Government Services,Hotels & Hospitality,Transportation & Travel,Beauty & Wellness,POI Density,Avg Rating - Business Type,Avg Rating - Food & Dining,Competition - Business Type/Area,Competition - Food & Dining/Area,Competition - Business Type/POI Density,Competition - Food & Dining/POI Density,Competition - Business Type/related POIs,Competition - Food & Dining/related POIs,Population Within 1km,Business Name,Google Rating,Number of Reviewers,Avg_NumOfReviewers - Food & Dining,Avg_NumOfReviewers_SameCategory,Population Within 2km,Population Within 3km,Total Num of Reviewers - Food & Dining,Total Num of Reviewers - All POIs,District,Residential Average Price
62c4a4963e2a294ed8a25d2f,espresso station (اسبريسو ستيشن),26.241778,50.214466,Coffee Shop,8.8,0.968299495,ChIJAdfdZe3DST4RZa6OMkKHAik,OPERATIONAL,22.548395373703432,,0,1,2,2,1,0,0,5,0,0,0,0,0,14,1,58,4.2,4.2,0.6366182836771073,0.6366182836771073,0.034482759,0.034482759,0.2857142857142857,0.2857142857142857,2120,Espresso Station اسبريسو ستيشن,4.4,153.0,194.0,194.0,19724,61651,389.0,4050,Sinayiat Alfawaziya,39702.0
5f6e3c929227c33c89239843,cesario coffee,26.255965,50.220532,Coffee Shop,8.6,0.9912826743152016,ChIJL8UsA0DDST4RYNisFSUqTgA,OPERATIONAL,61.03460100814655,,0,1,2,9,8,0,3,4,2,0,0,0,0,3,1,56,4.0,4.1,0.6366182836771073,2.8647822765469826,0.035714286,0.1607142857142857,0.125,0.5625,10498,ceasario,4.0,878.0,2357.0,453.0,53909,128780,21393.0,26379,Al Sahil,22464.0
5f97ed2d107f3c6dc6c1a5aa,blue sky,26.254914,50.214438,Coffee Shop,No rating,0.963778009,ChIJA1rVWjjDST4RcKfC6nIvWlY,OPERATIONAL,45.84086001619007,,0,3,1,4,3,0,0,3,2,2,0,1,0,3,1,57,4.0,4.2,0.3183091418385536,1.2732365673542143,0.01754386,0.070175439,0.1428571428571428,0.5714285714285714,12828,Blue Sky Coffee إسكان بلوسكي كوفي,4.0,29.0,2816.0,29.0,67458,158784,11293.0,14465,Iskan,22269.0
6032ae77fe87f20035e807ae,al-taam coffee and flour mill (مطاحن وبن التام),26.273722,50.185155,Coffee Shop,No rating,0.9437256547387932,ChIJp_j-xQfoST4RsVjm_vbAVNY,OPERATIONAL,13.97356701335269,,0,1,1,14,13,0,0,18,4,0,2,0,3,1,6,58,3.9,3.992857142857143,0.3183091418385536,4.456327986,0.017241379,0.2413793103448276,0.028571429,0.4,56606,مطاحن وبن التام AlTaam coffee and flour mill,4.4,246.0,854.0,19.0,148696,253458,11966.0,17299,Al Thuqbah,22464.0
5cae56c1911fc4002c178ee6,deawaniyat gdoe (ديوانية قدوع),26.269075,50.19019,Coffee Shop,No rating,0.5443944840370236,ChIJ61O7sAPoST4RDa2oMwn0MRw,OPERATIONAL,49.43513445669829,,0,2,3,16,13,0,0,8,6,0,2,0,7,2,5,58,4.233333333333333,3.975,0.9549274255156608,5.092946269416858,0.051724138,0.2758620689655172,0.096774194,0.5161290322580645,72642,ديوانية قدوع,3.8,128.0,1379.0,492.0,155251,269213,22168.0,26715,Al Thuqbah,22464.0
5dd5672fc61ceb00088c19b5,shathrat cafe (شذرات كافيه),26.275161,50.218922,Coffee Shop,9,0.9718690898160092,ChIJLTCzdZfDST4RohG5zSQwU4s,OPERATIONAL,25.97441022007808,,0,0,2,5,4,0,0,15,2,0,1,0,7,3,1,58,3.7,3.88,0.6366182836771073,1.591545709192768,0.034482759,0.086206897,0.074074074,0.1851851851851851,41550,شذرات كافيه,4.4,607.0,1433.0,604.0,146744,271861,7165.0,39557,Al Sahil,39702.0
5789215e498e67265b7749be,tea time,26.277549,50.211453,Coffee Shop,8.5,0.9755639333174684,ChIJ8ZznkLTpST4RgZaPELwGnmk,OPERATIONAL,21.675712589416985,,0,0,0,3,2,0,0,16,4,0,3,1,8,0,1,59,,3.9666666666666655,0.0,0.9549274255156608,0.0,0.050847458,0.0,0.1111111111111111,83536,TEA TIME TEA INNOVATION,4.5,113.0,287.0,,226681,342247,1399.0,31945,Al Khobar Al Janubiyah,15227.0
4ef0e9a99a52cecf43832c2b,sea rock (صخر البحر),26.261907,50.219034,Coffee Shop,8,0.936949688,ChIJufwGto7CST4Recm5GojTovM,OPERATIONAL,52.63427912504491,,0,2,3,11,8,0,6,8,2,1,1,0,1,4,1,57,4.05,4.0,0.9549274255156608,3.5014005602240896,0.052631579,0.1929824561403508,0.1153846153846153,0.4230769230769231,15936,Sea Rock Bufiya,4.0,182.0,2409.0,212.0,83764,185302,23551.0,35259,Al Sahil,22464.0
59089ae95d891b37234c78cb,sunroom cafe and restaurant,26.271953,50.221238,Coffee Shop,7.6,0.977467717,ChIJ13byMYHCST4RDO9g0pDdu-o,OPERATIONAL,22.399033709887487,,0,0,6,16,12,0,3,11,0,0,1,0,7,2,2,58,3.85,3.875,1.9098548510313216,5.092946269416858,0.1034482758620689,0.2758620689655172,0.1621621621621621,0.4324324324324324,28762,Sun Room Cafe & Restaurant,3.7,4237.0,1710.0,951.0,111770,236873,28606.0,57837,Al Sahil,22464.0
523d43c4498e8150c147db1e,azeem cafeteria,26.277812,50.213213,Coffee Shop,6.3,0.9234353277138312,ChIJt5VBPiboST4RNG3kU9cjcrs,OPERATIONAL,27.09841997446278,,0,0,2,5,3,0,0,20,3,0,3,1,8,1,1,59,3.7,3.86,0.6366182836771073,1.591545709192768,0.033898305,0.084745763,0.060606061,0.1515151515151515,80005,Azeem Cafeteria,4.0,185.0,414.0,604.0,201640,337269,2339.0,32839,Al Khobar Al Janubiyah,15227.0
