POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity
Starbucks (ستاربكس),26.406848,50.13808,Coffee Shop,9.3,0.9851474380884316
dr.CAFE COFFEE | د. كيف,26.407708,50.137617,Coffee Shop,8.3,0.7110482760049301
Garden Gate (قاردن قيت),26.398221,50.127066,Coffee Shop,9.0,0.9819055609068972
Boss Cafe,26.412653,50.173107,Café,9.0,0.9951009332049012
Coffee Valley (وادي القهوة),26.38801,50.149305,Coffee Shop,8.4,0.9350278097132028
La Mode Cafe at Novotel Business Park,26.40754,50.138548,Café,7.5,0.9732363877409398
Starbucks (ستاربكس),26.430711,50.13335,Coffee Shop,8.2,0.9940651896964235
ستاربكس,26.410375,50.126388,Coffee Shop,7.8,0.3971869206309749
ستاربكس,26.411754,50.169067,Coffee Shop,7.9,0.8923655345990119
Lounge Cafe (لاونج كافيه),26.410375,50.126388,Café,7.7,0.341608923966069
Coffee Company,26.388844,50.154169,Coffee Shop,7.8,0.9913826140094668
قهوه الطريق,26.410087,50.156028,Coffee Shop,7.1,0.9400615231644036
كوستا كوفي,26.412672,50.115727,Coffee Shop,7.1,0.9285336979150484
Novetel Hotel Cafe,26.40754,50.138548,Café,6.0,0.8921169561569773
مقهى الكهف الاسود,26.402387,50.139299,Coffee Shop,,0.9901086494940392
دانكن دونتس,26.410003,50.133322,Café,,0.9231581891060496
Nasj,26.399351,50.138238,Coffee Shop,,0.9561776921563144
Derby Coffee,26.396463,50.147908,Coffee Shop,,0.956011973194958
Saudi Airlines Catering,26.410329,50.126577,Coffee Shop,,0.8543951775782245
Daily Break,26.411297,50.125908,Café,,0.1232431200737449
Fresh Berry,26.401876,50.16391,Café,,0.8911329998239236
NOON Café,26.407082,50.123352,Coffee Shop,,0.9302219598338668
Del Monte,26.41137,50.168991,Coffee Shop,,0.8598742607380708
Kyan,26.430088,50.134441,Coffee Shop,,0.5238687091528654
Verocci Cafe,26.415074,50.170322,Café,,0.9936198199877784
Pianolla,26.388011,50.149542,Café,,0.44564935939264
Nespresso office in Dammam,26.392554,50.162118,Coffee Shop,,0.8759593574247273
