Business ID,District,City,Latitude,Longitude,POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity,Business Type
1,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Dominos pizza (دومينوز بيتزا),26.411434,50.12392,Pizzeria,8.5,0.98269272597334,Restaurant
2,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,T.Fex (تي فكس),26.430551,50.133611,Comfort Food Restaurant,8.7,0.9820194926928296,Restaurant
3,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,مطعم حدائق دمشق,26.412647,50.122477,Syrian Restaurant,8.2,0.979875503630281,Restaurant
4,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,مطعم مضغوط تهامة,26.414904,50.117919,Middle Eastern Restaurant,8.5,0.977700442262478,Restaurant
5,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Maestro Pizza (مايستروا بيتزا),26.413291,50.120296,Pizzeria,8.1,0.959108846285306,Restaurant
6,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,فلافل الرابية,26.415303,50.117222,Falafel Restaurant,8.2,0.9948005675874426,Restaurant
7,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,دروازة البيت,26.413935,50.174498,Middle Eastern Restaurant,8.0,0.946182767299506,Restaurant
8,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,هرفي,26.415718,50.116699,Fast Food Restaurant,7.9,0.98453634941843,Restaurant
9,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,فوال نور الصباح,26.43072,50.133389,Afghan Restaurant,7.4,0.9373271603020228,Restaurant
10,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Herfy (مطعم هرفي),26.38778,50.149307,Fast Food Restaurant,7.4,0.984670996074532,Restaurant
11,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Al Saihati Restaurant,26.403173,50.159621,Diner,6.6,0.5674631534246859,Restaurant
12,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Mishwar (مشوار),26.415625,50.116605,Middle Eastern Restaurant,6.9,0.9588913401485256,Restaurant
13,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,هرفي,26.415074,50.170322,Fast Food Restaurant,6.4,0.988689680887425,Restaurant
14,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Driver’s Hotel - Modan Alam Restaurant,26.415157,50.15032,Pakistani Restaurant,,0.955732322447669,Restaurant
15,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Turkistani Bukhari Restaurant,26.416044,50.172963,Turkish Restaurant,6.2,0.952832240623932,Restaurant
16,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,مشويات كل الناس,26.416041,50.138379,Fish and Chips Shop,,0.425618079938684,Restaurant
17,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,مطعم الراكة الحديثة,26.402206,50.139657,Restaurant,,0.7009808491025282,Restaurant
18,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Amiantit Dining Hall,26.402507,50.131062,Buffet,,0.708334628012719,Restaurant
19,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Soour Bukhari Restaurant,26.418667,50.161456,Middle Eastern Restaurant,,0.9608696102497176,Restaurant
20,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,ببك,26.393853,50.151787,BBQ Joint,,0.8822152482159318,Restaurant
21,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,برجر ستوب,26.41934,50.128816,Burger Joint,,0.9209209831277384,Restaurant
22,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Mas Restaurant,26.416508,50.124358,Bistro,,0.9174305275041688,Restaurant
23,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Hashi Taste Cafeteria - Kibdah (بوفية طعم الحاشي),26.416953,50.123945,Sandwich Spot,,0.9630964587929444,Restaurant
24,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,سبد,26.419013,50.123047,Diner,,0.5864690468052491,Restaurant
25,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Leopardo Central Kitchen,26.388373,50.144261,Restaurant,,0.8686677231250454,Restaurant
26,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,مشوار وذ الحوب,26.424202,50.165439,American Restaurant,,0.9318895068825156,Restaurant
27,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Shawayat Sahari,26.415074,50.170322,Middle Eastern Restaurant,,0.8472899771100685,Restaurant
28,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,مطعم صيد النواخدة,26.413783,50.120403,Seafood Restaurant,,0.9244942982319858,Restaurant
29,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,واحد كرك,26.430693,50.133463,Sandwich Spot,,0.9108535562253364,Restaurant
30,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Alfawar Restaurant (مطعم الفوار),26.413922,50.120307,Turkish Restaurant,,0.9463277713906928,Restaurant
31,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,مكبوس سمك,26.41386,50.120323,Seafood Restaurant,,0.4024277827838714,Restaurant
32,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,جوهرة الإسكان,26.414306,50.11991,Afghan Restaurant,,0.2293343276471014,Restaurant
33,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,ع الخفيف,26.41429,50.119737,Diner,,0.054324747019648,Restaurant
34,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Bahraini Tikkat Restaurant (مطعم تكات البحريني),26.414022,50.119493,Middle Eastern Restaurant,,0.5109944173424893,Restaurant
35,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,كودو,26.414152,50.119596,Fast Food Restaurant,,0.8864721540357746,Restaurant
36,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Sama Deeraty,26.414366,50.118002,Restaurant,,0.959699220085138,Restaurant
37,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,سماء ديرتي,26.414289,50.118081,Kebab Restaurant,,0.904359444427182,Restaurant
38,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Payless Shoesource,26.402128,50.118861,Restaurant,,0.952645806792406,Restaurant
39,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,Dirwazat Albait,26.414,50.174454,Restaurant,,0.774611855120198,Restaurant
40,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,استراحة عدن بوفيه,26.415026,50.11694,Middle Eastern Restaurant,,0.9106567649587256,Restaurant
41,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,بروستد و مشويات عافية,26.415256,50.116465,Middle Eastern Restaurant,,0.8844317393240738,Restaurant
42,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,مشوار,26.415381,50.116533,Mediterranean Restaurant,,0.0654693471708666,Restaurant
43,Al Khalidiyah Ash Shamaliyah Dist.,Dammam,26.4104127,50.1456981,The Pizza Company,26.41581,50.11632,Bar,,0.8903044050171416,Restaurant
44,1st Industrial Dist.,Dammam,26.3979752,50.139516,Wood Pizza (وود بيتزا),26.383627,50.140984,Pizzeria,9.2,0.9925115744337072,Restaurant
45,1st Industrial Dist.,Dammam,26.3979752,50.139516,Pinkberry (پنكبيري),26.400558,50.117264,Frozen Yogurt Shop,9.1,0.9794819210970596,Restaurant
46,1st Industrial Dist.,Dammam,26.3979752,50.139516,Dominos pizza (دومينوز بيتزا),26.411434,50.12392,Pizzeria,8.5,0.98269272597334,Restaurant
47,1st Industrial Dist.,Dammam,26.3979752,50.139516,الطازج,26.401251,50.114717,Fried Chicken Joint,8.8,0.9919004857637056,Restaurant
48,1st Industrial Dist.,Dammam,26.3979752,50.139516,Saladay (سالاداي),26.375968,50.122288,Salad Restaurant,8.8,0.9593056375519168,Restaurant
49,1st Industrial Dist.,Dammam,26.3979752,50.139516,Kudu (كودو),26.400379,50.11498,Fast Food Restaurant,8.4,0.979274772395364,Restaurant
50,1st Industrial Dist.,Dammam,26.3979752,50.139516,مطعم حدائق دمشق,26.412647,50.122477,Syrian Restaurant,8.2,0.979875503630281,Restaurant
51,1st Industrial Dist.,Dammam,26.3979752,50.139516,مطعم مضغوط تهامة,26.414904,50.117919,Middle Eastern Restaurant,8.5,0.977700442262478,Restaurant
52,1st Industrial Dist.,Dammam,26.3979752,50.139516,Herfy (هرفي),26.400157,50.115595,Fast Food Restaurant,8.1,0.9821955690892707,Restaurant
53,1st Industrial Dist.,Dammam,26.3979752,50.139516,Rolando's Pizzeria (رولاندوز بيتزيريا),26.376335,50.122937,Pizzeria,8.3,0.9650436565888824,Restaurant
54,1st Industrial Dist.,Dammam,26.3979752,50.139516,Come To Momma,26.371325,50.139569,Restaurant,8.3,0.9880060901718298,Restaurant
55,1st Industrial Dist.,Dammam,26.3979752,50.139516,Maestro Pizza (مايستروا بيتزا),26.413291,50.120296,Pizzeria,8.1,0.959108846285306,Restaurant
56,1st Industrial Dist.,Dammam,26.3979752,50.139516,فلافل الرابية,26.415303,50.117222,Falafel Restaurant,8.2,0.9948005675874426,Restaurant
57,1st Industrial Dist.,Dammam,26.3979752,50.139516,Herfy (مطعم هرفي),26.38778,50.149307,Fast Food Restaurant,7.4,0.984670996074532,Restaurant
58,1st Industrial Dist.,Dammam,26.3979752,50.139516,Burger King (برجر كنق),26.400356,50.11501,Fast Food Restaurant,7.4,0.9745621394317912,Restaurant
59,1st Industrial Dist.,Dammam,26.3979752,50.139516,Jasmis (جسميز),26.400556,50.114898,American Restaurant,7.1,0.9246496597582574,Restaurant
60,1st Industrial Dist.,Dammam,26.3979752,50.139516,McDonald's (ماكدونالدز),26.400281,50.116745,Burger Joint,6.9,0.9330806119172648,Restaurant
61,1st Industrial Dist.,Dammam,26.3979752,50.139516,Al Saihati Restaurant,26.403173,50.159621,Diner,6.6,0.5674631534246859,Restaurant
62,1st Industrial Dist.,Dammam,26.3979752,50.139516,مطعم الراكة الحديثة,26.402206,50.139657,Restaurant,,0.7009808491025282,Restaurant
63,1st Industrial Dist.,Dammam,26.3979752,50.139516,Amiantit Dining Hall,26.402507,50.131062,Buffet,,0.708334628012719,Restaurant
64,1st Industrial Dist.,Dammam,26.3979752,50.139516,Leopardo Central Kitchen,26.388373,50.144261,Restaurant,,0.8686677231250454,Restaurant
65,1st Industrial Dist.,Dammam,26.3979752,50.139516,Dawg&Co,26.385865,50.126185,Fast Food Restaurant,,0.8815213000652519,Restaurant
66,1st Industrial Dist.,Dammam,26.3979752,50.139516,مشويات كل الناس,26.416041,50.138379,Fish and Chips Shop,,0.425618079938684,Restaurant
67,1st Industrial Dist.,Dammam,26.3979752,50.139516,Payless Shoesource,26.402128,50.118861,Restaurant,,0.952645806792406,Restaurant
68,1st Industrial Dist.,Dammam,26.3979752,50.139516,Patatia (بطاطيا),26.400251,50.117581,Salad Restaurant,,0.8589731638856953,Restaurant
69,1st Industrial Dist.,Dammam,26.3979752,50.139516,باسكن روبنز,26.39999,50.117473,Ice Cream Parlor,,0.8886265005334079,Restaurant
70,1st Industrial Dist.,Dammam,26.3979752,50.139516,Driver’s Hotel - Modan Alam Restaurant,26.415157,50.15032,Pakistani Restaurant,,0.955732322447669,Restaurant
71,1st Industrial Dist.,Dammam,26.3979752,50.139516,Vanelli's,26.400359,50.117375,Italian Restaurant,,0.6279402168846907,Restaurant
72,1st Industrial Dist.,Dammam,26.3979752,50.139516,Okashi,26.400251,50.117345,Sushi Restaurant,,0.8809723560057587,Restaurant
73,1st Industrial Dist.,Dammam,26.3979752,50.139516,Lucas,26.400634,50.11722,Italian Restaurant,,0.467710696123212,Restaurant
74,1st Industrial Dist.,Dammam,26.3979752,50.139516,شاورماريتو,26.400128,50.116904,Shawarma Restaurant,,0.7785476804524127,Restaurant
75,1st Industrial Dist.,Dammam,26.3979752,50.139516,دجاج كنتاكى,26.402866,50.115303,Fried Chicken Joint,,0.8777201213891392,Restaurant
76,1st Industrial Dist.,Dammam,26.3979752,50.139516,Mas Restaurant,26.416508,50.124358,Bistro,,0.9174305275041688,Restaurant
77,1st Industrial Dist.,Dammam,26.3979752,50.139516,مكبوس سمك,26.41386,50.120323,Seafood Restaurant,,0.4024277827838714,Restaurant
78,1st Industrial Dist.,Dammam,26.3979752,50.139516,Hashi Taste Cafeteria - Kibdah (بوفية طعم الحاشي),26.416953,50.123945,Sandwich Spot,,0.9630964587929444,Restaurant
79,1st Industrial Dist.,Dammam,26.3979752,50.139516,برجر ستوب,26.41934,50.128816,Burger Joint,,0.9209209831277384,Restaurant
