Business ID,POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity
1,Dominos pizza (دومينوز بيتزا),26.411434,50.12392,Pizzeria,8.5,0.982692726
2,T.Fex (تي فكس),26.430551,50.133611,Comfort Food Restaurant,8.7,0.9820194926928296
3,مطعم حدائق دمشق,26.412647,50.122477,Syrian Restaurant,8.2,0.979875504
4,مطعم مضغوط تهامة,26.414904,50.117919,Middle Eastern Restaurant,8.5,0.977700442
5,Maestro Pizza (مايستروا بيتزا),26.413291,50.120296,Pizzeria,8.1,0.959108846
6,فلافل الرابية,26.415303,50.117222,Falafel Restaurant,8.2,0.9948005675874426
7,دروازة البيت,26.413935,50.174498,Middle Eastern Restaurant,8,0.946182767
8,هرفي,26.415718,50.116699,Fast Food Restaurant,7.9,0.984536349
9,فوال نور الصباح,26.43072,50.133389,Afghan Restaurant,7.4,0.9373271603020228
10,Herfy (مطعم هرفي),26.38778,50.149307,Fast Food Restaurant,7.4,0.984670996
11,Al Saihati Restaurant,26.403173,50.159621,Diner,6.6,0.5674631534246859
12,Mishwar (مشوار),26.415625,50.116605,Middle Eastern Restaurant,6.9,0.9588913401485256
13,هرفي,26.415074,50.170322,Fast Food Restaurant,6.4,0.988689681
14,Driver’s Hotel - Modan Alam Restaurant,26.415157,50.15032,Pakistani Restaurant,,0.955732322
15,Turkistani Bukhari Restaurant,26.416044,50.172963,Turkish Restaurant,6.2,0.952832241
16,مشويات كل الناس,26.416041,50.138379,Fish and Chips Shop,,0.42561808
17,مطعم الراكة الحديثة,26.402206,50.139657,Restaurant,,0.7009808491025282
18,Amiantit Dining Hall,26.402507,50.131062,Buffet,,0.708334628
19,Soour Bukhari Restaurant,26.418667,50.161456,Middle Eastern Restaurant,,0.9608696102497176
20,ببك,26.393853,50.151787,BBQ Joint,,0.8822152482159318
21,برجر ستوب,26.41934,50.128816,Burger Joint,,0.9209209831277384
22,Mas Restaurant,26.416508,50.124358,Bistro,,0.9174305275041688
23,Hashi Taste Cafeteria - Kibdah (بوفية طعم الحاشي),26.416953,50.123945,Sandwich Spot,,0.9630964587929444
24,سبد,26.419013,50.123047,Diner,,0.5864690468052491
25,Leopardo Central Kitchen,26.388373,50.144261,Restaurant,,0.8686677231250454
26,مشوار وذ الحوب,26.424202,50.165439,American Restaurant,,0.9318895068825156
27,Shawayat Sahari,26.415074,50.170322,Middle Eastern Restaurant,,0.8472899771100685
28,مطعم صيد النواخدة,26.413783,50.120403,Seafood Restaurant,,0.9244942982319858
29,واحد كرك,26.430693,50.133463,Sandwich Spot,,0.9108535562253364
30,Alfawar Restaurant (مطعم الفوار),26.413922,50.120307,Turkish Restaurant,,0.9463277713906928
31,مكبوس سمك,26.41386,50.120323,Seafood Restaurant,,0.4024277827838714
32,جوهرة الإسكان,26.414306,50.11991,Afghan Restaurant,,0.2293343276471014
33,ع الخفيف,26.41429,50.119737,Diner,,0.054324747
34,Bahraini Tikkat Restaurant (مطعم تكات البحريني),26.414022,50.119493,Middle Eastern Restaurant,,0.5109944173424893
35,كودو,26.414152,50.119596,Fast Food Restaurant,,0.8864721540357746
36,Sama Deeraty,26.414366,50.118002,Restaurant,,0.95969922
37,سماء ديرتي,26.414289,50.118081,Kebab Restaurant,,0.904359444
38,Payless Shoesource,26.402128,50.118861,Restaurant,,0.952645807
39,Dirwazat Albait,26.414,50.174454,Restaurant,,0.774611855
40,استراحة عدن بوفيه,26.415026,50.11694,Middle Eastern Restaurant,,0.9106567649587256
41,بروستد و مشويات عافية,26.415256,50.116465,Middle Eastern Restaurant,,0.8844317393240738
42,مشوار,26.415381,50.116533,Mediterranean Restaurant,,0.065469347
43,The Pizza Company,26.41581,50.11632,Bar,,0.8903044050171416
44,Wood Pizza (وود بيتزا),26.383627,50.140984,Pizzeria,9.2,0.9925115744337072
45,Pinkberry (پنكبيري),26.400558,50.117264,Frozen Yogurt Shop,9.1,0.9794819210970596
46,الطازج,26.401251,50.114717,Fried Chicken Joint,8.8,0.9919004857637056
47,Saladay (سالاداي),26.375968,50.122288,Salad Restaurant,8.8,0.9593056375519168
48,Kudu (كودو),26.400379,50.11498,Fast Food Restaurant,8.4,0.979274772
49,Herfy (هرفي),26.400157,50.115595,Fast Food Restaurant,8.1,0.9821955690892707
50,Rolando's Pizzeria (رولاندوز بيتزيريا),26.376335,50.122937,Pizzeria,8.3,0.9650436565888824
51,Come To Momma,26.371325,50.139569,Restaurant,8.3,0.9880060901718298
52,Burger King (برجر كنق),26.400356,50.11501,Fast Food Restaurant,7.4,0.9745621394317912
53,Jasmis (جسميز),26.400556,50.114898,American Restaurant,7.1,0.9246496597582574
