Business ID,POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity
2,T.Fex (تي فكس),26.430551,50.133611,Comfort Food Restaurant,8.7,0.9820194926928296
8,هرفي,26.415718,50.116699,Fast Food Restaurant,7.9,0.984536349
11,Al Saihati Restaurant,26.403173,50.159621,Diner,6.6,0.5674631534246859
12,Mishwar (مشوار),26.415625,50.116605,Middle Eastern Restaurant,6.9,0.9588913401485256
13,هرفي,26.415074,50.170322,Fast Food Restaurant,6.4,0.988689681
14,Driver’s Hotel - Modan Alam Restaurant,26.415157,50.15032,Pakistani Restaurant,,0.955732322
15,Turkistani Bukhari Restaurant,26.416044,50.172963,Turkish Restaurant,6.2,0.952832241
16,مشويات كل الناس,26.416041,50.138379,Fish and Chips Shop,,0.42561808
19,Soour Bukhari Restaurant,26.418667,50.161456,Middle Eastern Restaurant,,0.9608696102497176
20,ببك,26.393853,50.151787,BBQ Joint,,0.8822152482159318
21,برجر ستوب,26.41934,50.128816,Burger Joint,,0.9209209831277384
22,Mas Restaurant,26.416508,50.124358,Bistro,,0.9174305275041688
24,سبد,26.419013,50.123047,Diner,,0.5864690468052491
25,Leopardo Central Kitchen,26.388373,50.144261,Restaurant,,0.8686677231250454
27,Shawayat Sahari,26.415074,50.170322,Middle Eastern Restaurant,,0.8472899771100685
31,مكبوس سمك,26.41386,50.120323,Seafood Restaurant,,0.4024277827838714
32,جوهرة الإسكان,26.414306,50.11991,Afghan Restaurant,,0.2293343276471014
33,ع الخفيف,26.41429,50.119737,Diner,,0.054324747
35,كودو,26.414152,50.119596,Fast Food Restaurant,,0.8864721540357746
36,Sama Deeraty,26.414366,50.118002,Restaurant,,0.95969922
37,سماء ديرتي,26.414289,50.118081,Kebab Restaurant,,0.904359444
38,Payless Shoesource,26.402128,50.118861,Restaurant,,0.952645807
39,Dirwazat Albait,26.414,50.174454,Restaurant,,0.774611855
41,بروستد و مشويات عافية,26.415256,50.116465,Middle Eastern Restaurant,,0.8844317393240738
42,مشوار,26.415381,50.116533,Mediterranean Restaurant,,0.065469347
43,The Pizza Company,26.41581,50.11632,Bar,,0.8903044050171416
46,الطازج,26.401251,50.114717,Fried Chicken Joint,8.8,0.9919004857637056
47,Saladay (سالاداي),26.375968,50.122288,Salad Restaurant,8.8,0.9593056375519168
48,Kudu (كودو),26.400379,50.11498,Fast Food Restaurant,8.4,0.979274772
49,Herfy (هرفي),26.400157,50.115595,Fast Food Restaurant,8.1,0.9821955690892707
51,Come To Momma,26.371325,50.139569,Restaurant,8.3,0.9880060901718298
52,Burger King (برجر كنق),26.400356,50.11501,Fast Food Restaurant,7.4,0.9745621394317912
53,Jasmis (جسميز),26.400556,50.114898,American Restaurant,7.1,0.9246496597582574
54,McDonald's (ماكدونالدز),26.400281,50.116745,Burger Joint,6.9,0.9330806119172648
55,Dawg&Co,26.385865,50.126185,Fast Food Restaurant,,0.8815213000652519
56,Patatia (بطاطيا),26.400251,50.117581,Salad Restaurant,,0.8589731638856953
58,Vanelli's,26.400359,50.117375,Italian Restaurant,,0.6279402168846907
59,Okashi,26.400251,50.117345,Sushi Restaurant,,0.8809723560057587
60,Lucas,26.400634,50.11722,Italian Restaurant,,0.467710696
61,شاورماريتو,26.400128,50.116904,Shawarma Restaurant,,0.7785476804524127
62,دجاج كنتاكى,26.402866,50.115303,Fried Chicken Joint,,0.8777201213891392
63,Herfy (هرفي),26.400266,50.117281,Fast Food Restaurant,6.2,0.9659033237009188
64,Popeyes Louisiana Kitchen,26.40672,50.113451,Fried Chicken Joint,,0.898590353
67,Madhina (ماضينا),26.376841,50.121799,Middle Eastern Restaurant,,0.9389014904349088
69,Anjik,26.407504,50.188828,Turkish Restaurant,8.2,0.99835608
71,Le Relais de L’entercote,26.41252,50.20686,French Restaurant,8,0.9610904021033988
72,الروشن الشرقي,26.405798,50.185761,Restaurant,7.5,0.9487746566026616
73,In Between (إن بتوين),26.388568,50.17853,Burger Joint,8,0.961874281
