POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity,Matched Population,Population Within 1km
Starbucks (ستاربكس),26.406848,50.13808,Coffee Shop,9.3,0.9851474380884316,426.0,2479
dr.CAFE COFFEE | د. كيف,26.407708,50.137617,Coffee Shop,8.3,0.7110482760049301,84.0,2586
Garden Gate (قاردن قيت),26.398221,50.127066,Coffee Shop,9.0,0.9819055609068972,,5814
Boss Cafe,26.412653,50.173107,Café,9.0,0.9951009332049012,139.0,13810
Coffee Valley (وادي القهوة),26.38801,50.149305,Coffee Shop,8.4,0.9350278097132028,,2690
La Mode Cafe at Novotel Business Park,26.40754,50.138548,Café,7.5,0.9732363877409398,84.0,2479
Starbucks (ستاربكس),26.430711,50.13335,Coffee Shop,8.2,0.9940651896964235,122.0,13477
ستاربكس,26.410375,50.126388,Coffee Shop,7.8,0.3971869206309749,,17814
ستاربكس,26.411754,50.169067,Coffee Shop,7.9,0.8923655345990119,240.0,12801
Lounge Cafe (لاونج كافيه),26.410375,50.126388,Café,7.7,0.341608923966069,,17814
Coffee Company,26.388844,50.154169,Coffee Shop,7.8,0.9913826140094668,69.0,453
قهوه الطريق,26.410087,50.156028,Coffee Shop,7.1,0.9400615231644036,,6675
كوستا كوفي,26.412672,50.115727,Coffee Shop,7.1,0.9285336979150484,1164.0,30770
Novetel Hotel Cafe,26.40754,50.138548,Café,6.0,0.8921169561569773,84.0,2479
مقهى الكهف الاسود,26.402387,50.139299,Coffee Shop,,0.9901086494940392,142.0,3276
دانكن دونتس,26.410003,50.133322,Café,,0.9231581891060496,69.0,7353
Nasj,26.399351,50.138238,Coffee Shop,,0.9561776921563144,127.0,3470
Derby Coffee,26.396463,50.147908,Coffee Shop,,0.956011973194958,,1676
Saudi Airlines Catering,26.410329,50.126577,Coffee Shop,,0.8543951775782245,,17814
Daily Break,26.411297,50.125908,Café,,0.1232431200737449,1755.0,19776
Fresh Berry,26.401876,50.16391,Café,,0.8911329998239236,,665
NOON Café,26.407082,50.123352,Coffee Shop,,0.9302219598338668,503.0,19402
Del Monte,26.41137,50.168991,Coffee Shop,,0.8598742607380708,240.0,13445
Kyan,26.430088,50.134441,Coffee Shop,,0.5238687091528654,,9890
Verocci Cafe,26.415074,50.170322,Café,,0.9936198199877784,219.0,12554
Pianolla,26.388011,50.149542,Café,,0.44564935939264,,2690
Nespresso office in Dammam,26.392554,50.162118,Coffee Shop,,0.8759593574247273,,739
Durbai Coffee,26.414136,50.119659,Coffee Shop,,0.1166868636650819,2231.0,29068
Silent Crack Coffee Roasters,26.386515,50.144083,Coffee Shop,,0.0986545691824876,,4506
OYO 411 Moon Hotel,26.429487,50.129455,Café,,0.2910439258821945,86.0,20669
abdullah fouad dammam 32236 saudi arabia (2781 طريق الأمير محمد بن فهد),26.411057,50.118435,Coffee Shop,,0.9553801696547868,1164.0,27159
Segafredo Zantti Espresso,26.40411,50.117096,Café,,0.9441112802825508,783.0,17665
Star Bucks,26.412578,50.11575,Coffee Shop,,0.915856197371283,1164.0,30770
Overloft Café,26.41581,50.11632,Café,,0.6221296958021315,1441.0,34356
Saadeddin Cafe,26.400607,50.117657,Coffee Shop,,0.9433862598266164,444.0,11683
Starbucks (ستاربكس),26.400343,50.117202,Coffee Shop,8.9,0.9902018664098022,242.0,13235
Starbucks (ستاربكس),26.401618,50.115742,Coffee Shop,8.9,0.9674258666583808,444.0,16646
Ojair Coffee (اوجير كوفي),26.411095,50.114829,Coffee Shop,9.4,0.996996343825415,1132.0,29523
