keyword,Title,Review_Count,Rating,Address,Country,City,State,Google_id,Place_id,Latitude,Longitude,Category,Price_Range,Current_Status,general_category,Religious Institutions,Health,Restaurants,Public & Government Services,Coffee Shops,Entertainment & Recreation,Transportation & Travel,Finance & Services,Retail & Shopping,Food & Dining,Home & Construction Services,Beauty & Wellness,Hotels & Hospitality,Education,POI Density,Avg Rating - Restaurants,Avg Rating - Food & Dining,Avg Rating - Coffee Shops,Avg Num of Reviewers - Restaurants,Avg Num of Reviewers - Food & Dining,Avg Num of Reviewers - Coffee Shops
Kudo,Kudu - King Saud St,1614.0,3.9,"8528 Prince Mohammed Bin Fahd Road, Ar Rabi, Dammam 32241, Saudi Arabia",SA,Dammam,,0x3e49fb9ef45ec9a3:0xe130ca8af26502f1,ChIJo8le9J77ST4R8QJl8orKMOE,26.4420175,50.1177564,restaurants,SAR 20–40,,1,0,0,18,0,2,0,0,0,4,20,0,0,0,0,20,4.127777777777777,4.15,4.35,1861.1666666666667,1742.45,674.0
Kudo,Kudu - Al Rakah Al Shamaliyah,1680.0,3.9,"7869 Khaled Ibn Al Walid St, 4193, Dammam 34224, Saudi Arabia",SA,Dammam,,0x3e49ef413bed3375:0x5bc6e24157c21033,ChIJdTPtO0HvST4RMxDCV0Hixls,26.3642251,50.2002842,restaurants,SAR 20–40,,1,0,0,12,0,7,0,0,0,7,20,0,0,0,0,20,4.091666666666666,4.21,4.342857142857143,1518.0833333333333,1357.65,954.1428571428571
Herfy,Herfy,1349.0,3.8,"7752 18th Street, Al Rawdah, Dammam 32257, Saudi Arabia",SA,Dammam,,0x3e49fcbfc898b097:0x17a31d5e247223d,ChIJl7CYyL_8ST4RPSJH4tUxegE,26.4068408,50.0822664,مطعم همبرغر,SAR 20–40,,1,0,0,15,0,3,0,0,0,4,20,0,0,0,0,20,4.006666666666667,4.005,3.9666666666666655,675.2,538.0,107.0
Kudo,Kudu - Dhahran Center,1093.0,3.9,"King Fahd Road, Al Khobar Al Janubiyah, Al Khobar 34621, Saudi Arabia",SA,Al Khobar,,0x3e49e8239960495d:0xefc8b2db320b6dd5,ChIJXUlgmSPoST4R1W0LMtuyyO8,26.2792681,50.208064,restaurants,SAR 20–40,,1,0,0,17,0,0,0,0,0,3,20,0,0,0,0,20,4.135294117647058,4.1850000000000005,,3215.1176470588234,3225.05,
Kudo,Kudu - Al Imam Ali Ibn Abi Talib St,1403.0,3.8,"Ar Rayyan, Dammam 32256, Saudi Arabia",SA,Dammam,,0x3e49fb57df64d701:0x62de027ec9930b09,ChIJAddk31f7ST4RCQuTyX4C3mI,26.4028473,50.1009764,restaurants,SAR 20–40,,1,0,0,10,0,8,1,0,0,8,20,0,0,0,0,20,4.25,4.32,4.4125,1374.9,1212.25,735.875
Herfy,Herfy,946.0,3.3,"55WV+G7V، 613، Al Tahliyah, Al Khobar 34717, Saudi Arabia",SA,Al Khobar,,0x3e49c3507be1b2d3:0x89e4dca61393cde,ChIJ07Lhe1DDST4R3jw5YcpNngg,26.1963721,50.1931832,restaurants,SAR 20–40,,1,0,0,15,0,5,0,0,0,5,20,0,0,0,0,20,3.933333333333333,4.015,4.26,1574.7333333333333,1461.0,1119.8
Herfy,Herfy,1046.0,3.5,"7887 Prince Mohammed Bin Fahd Road, Al Mazruiyah, Dammam 32414, Saudi Arabia",SA,Dammam,,0x3e49fb9787367b33:0xe2511b71b370e2ab,ChIJM3s2h5f7ST4Rq-Jws3EbUeI,26.4502487,50.1191406,restaurants,SAR 20–40,,1,0,0,16,0,4,0,0,0,6,20,0,0,0,0,20,4.25625,4.25,4.225,3292.6875,2881.7,1237.75
Kudo,Kudu - Doha Center,1216.0,3.7,"Near Al Doha Medical Clinic, Abdullah Ibn Al Abbas St, Al Dawhah Al Janubiyah, Doha Center, Dhahran Saudi Arabia",SA,Dhahran,,0x3e49e61311ffbed3:0x41ad50fa607a1b7d,ChIJ077_ERPmST4RfRt6YPpQrUE,26.3237221,50.1648165,restaurants,SAR 20–40,,1,0,0,19,0,1,0,0,0,2,20,0,0,0,0,20,4.078947368421052,4.0600000000000005,3.7,1525.5263157894738,1463.95,294.0
Domino's,Domino's Pizza,239.0,4.0,"7211 King Fahd Road, Al Rakah Al Janubiyah, Al Khobar 34226, Saudi Arabia",SA,Al Khobar,,0x3e49ef89111e077b:0xfa7f8a5f5adffe86,ChIJewceEYnvST4Rhv7fWl-Kf_o,26.3586067,50.1887217,restaurants,$$,,1,0,0,17,0,4,0,0,0,2,20,0,0,0,0,20,3.988235294117647,4.025,4.2,1165.4705882352941,1101.65,664.0
Kudo,Kudu - Al Hizam Al Akhdar,1530.0,3.9,"Tabari St, Al Hizam Al Akhdar, Al Khobar 34436, Saudi Arabia",SA,Al Khobar,,0x3e49e863bab0f3b7:0x9b62d6882853416d,ChIJt_OwumPoST4RbUFTKIjWYps,26.3050104,50.1967273,restaurants,SAR 20–40,,1,0,0,12,0,6,0,0,0,8,20,0,0,0,0,20,4.183333333333333,4.24,4.3500000000000005,2286.0833333333335,2110.8,1568.0
