ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status
0,KFC,26.2446774,49.9814928,restaurant,3.9,1341,OPERATIONAL
1,Apsara Restaurant,26.2410518,49.974508,restaurant,3.7,338,OPERATIONAL
2,Sakbe Restaurant,26.2454121,49.9815698,restaurant,3.9,646,OPERATIONAL
3,Golden Oven Bokhari Restaurant,26.2385147,49.9719934,restaurant,3.8,1247,OPERATIONAL
4,Rakan Al-Bukhari Restaurants,26.2454172,49.9817114,restaurant,3.4,366,OPERATIONAL
5,فوال نور الصباح,26.2453125,49.9815625,restaurant,4,261,OPERATIONAL
6,Taj Al Masi Broasted,26.2411641,49.9742551,restaurant,4,293,OPERATIONAL
7,كفتيريا و بوفيه جبل الزيتون,26.2448795,49.9812879,restaurant,4.5,69,OPERATIONAL
8,Harakat al barakat restaurant,26.2367756,49.9698608,restaurant,4,86,OPERATIONAL
9,Eastern Delight,26.2381677,49.9720491,restaurant,4.1,38,OPERATIONAL
10,FUNNY DUCK,26.2448194,49.9813657,restaurant,3.9,45,OPERATIONAL
11,Iconic restaurant 1,26.2383342,49.9718487,restaurant,3.8,14,OPERATIONAL
12,Modon Lake Restaurant,26.2366255,49.9695566,restaurant,4,132,OPERATIONAL
13,Maimoona Restaurant,26.2365982,49.9694226,restaurant,3.6,25,OPERATIONAL
14,Mehmoona Restaurant,26.2411085,49.9743615,restaurant,3.7,17,OPERATIONAL
15,RESTAURANT RUKAN MULTAN مطعم ركن ملتان,26.2408609,49.9741297,restaurant,4.8,6,OPERATIONAL
16,Nouf Restaurant,26.2385833,49.971801,restaurant,3.8,180,OPERATIONAL
17,قمر الضواحي,26.2413861,49.9740949,restaurant,4.3,6,OPERATIONAL
18,Fast food restaurant,26.2452083,49.9815758,restaurant,3.7,49,OPERATIONAL
19,food & drinks,26.2413034,49.9983703,restaurant,4.7,15,OPERATIONAL
20,بوفية سفرة اليوم للوجبات السريعة,26.2411674,49.99804710000001,restaurant,5,4,OPERATIONAL
21,حكاية,26.2502021,49.9857523,restaurant,5,1,OPERATIONAL
22,Ghaim Kitchen,26.2559965,50.0702991,restaurant,5,34,OPERATIONAL
23,Madhghoot Tehamah(MT),26.2498583,50.1987685,restaurant,4.2,1172,OPERATIONAL
24,بوفيه نورالشرق,26.2614509,50.1905729,restaurant,4,10,OPERATIONAL
25,مطعم المضغوط الناضج,26.2500382,50.2016596,restaurant,4,652,OPERATIONAL
26,مطاعم البراري البخاري,26.2500547,50.2015969,restaurant,4,259,OPERATIONAL
27,Modon Alam Pakistani Restaurant,26.2398736,50.1993469,restaurant,4.3,97,OPERATIONAL
28,Barn's | بارنز,26.2502376,50.2026869,restaurant,3.9,19,OPERATIONAL
29,Silver Tower Restaurant,26.2493309,50.1996867,restaurant,3.9,215,OPERATIONAL
30,مطعم الشام القديمة,26.2493295,50.1986567,restaurant,4.1,96,OPERATIONAL
31,مطعم وبروستد الشام الاسكان,26.2495795,50.2007978,restaurant,3.8,172,OPERATIONAL
32,Buffet AlSaada,26.250128,50.201624,restaurant,3.8,127,OPERATIONAL
33,Cafeteria Nalukettu,26.2495788,50.2007182,restaurant,3.8,135,OPERATIONAL
34,Sagar Restaurant,26.254437,50.201758,restaurant,3.7,30,OPERATIONAL
35,مطعم حارة البركة 3,26.2570441,50.2021314,restaurant,4,83,OPERATIONAL
36,Snackhouse Central Kitchen,26.2443565,50.1997141,restaurant,4.5,39,OPERATIONAL
37,O Burger,26.2386946,50.1984013,restaurant,3.9,24,OPERATIONAL
38,كافتيريا ساندوتش غير - Different Sandwiches,26.2460154,50.2001056,restaurant,3.6,152,OPERATIONAL
39,بوفية سعد,26.2562335,50.1939566,restaurant,3.7,36,OPERATIONAL
40,فوال و مخبز نور الصباح,26.2494638,50.1997563,restaurant,4.5,11,OPERATIONAL
41,بوفية مبروك,26.255105,50.2017693,restaurant,3.9,16,OPERATIONAL
42,بوفية زهور الخبر,26.2600639,50.19768690000001,restaurant,3.8,82,OPERATIONAL
43,Blue Garden Restaurant Khobar,26.2551003,50.221004,restaurant,4.1,11005,OPERATIONAL
44,Bait AlRobyan,26.2509153,50.2151533,restaurant,4.5,2146,OPERATIONAL
45,Chef Eyad Khobar,26.2555732,50.2210499,restaurant,4.6,3674,OPERATIONAL
46,ceasario,26.2554416,50.2207226,restaurant,4,875,OPERATIONAL
47,مطعم لارتيستوLartisto,26.250819,50.2152641,restaurant,4.6,315,OPERATIONAL
48,Herfy,26.257799400000003,50.2037926,restaurant,3.6,621,OPERATIONAL
49,نكهة أماسينا للولائم والحفلات الخارجية,26.2601191,50.2041041,restaurant,4.2,286,OPERATIONAL
50,Reem AlKhobar Sweets,26.2507019,50.2118492,restaurant,4.3,279,OPERATIONAL
51,SHAWARMA & FALAFEL MUHALHIL,26.2568406,50.2037006,restaurant,3.5,273,OPERATIONAL
52,Tim Hortons,26.2406788,50.21445250000001,restaurant,4,239,OPERATIONAL
53,Voile Nour Al-Sabah,26.257583500000003,50.2037409,restaurant,3.5,106,OPERATIONAL
54,Oriya,26.2558523,50.2210788,restaurant,4,3711,OPERATIONAL
55,Ocean,26.2557565,50.2211446,restaurant,3.5,1864,OPERATIONAL
56,Tasty Burger البرقر اللذيذ,26.2506786,50.2122657,restaurant,4.4,52,OPERATIONAL
57,فوال الخبزة الساخنة,26.2506599,50.2120188,restaurant,4,12,OPERATIONAL
58,مطعم كروان الشرق,26.2506243,50.2116068,restaurant,4.8,6,OPERATIONAL
59,بوفيه حسن خواجي لتقديم الوجبات,26.2507324,50.2115345,restaurant,4.5,6,OPERATIONAL
60,فوال أحلى عدس لتقديم الوجبات,26.2507417,50.2128708,restaurant,5,4,OPERATIONAL
61,Our Hamat transportation company.,26.2738616,49.9882795,restaurant,4.4,39,OPERATIONAL
62,McDonald's,26.2654423,50.0705652,restaurant,3,247,OPERATIONAL
63,معجنات أفران أجيال,26.2658848,50.07091930000001,restaurant,4.5,146,OPERATIONAL
64,Anjar Restaurant مطعم عنجر للمعجنات والشاورما,26.2658942,50.070705100000005,restaurant,4,274,OPERATIONAL
65,شواية اجيال,26.2659904,50.072078,restaurant,4.1,198,OPERATIONAL
66,Ovlo,26.2658845,50.0705512,restaurant,4.5,110,OPERATIONAL
67,Subway,26.2655225,50.0712506,restaurant,4.8,146,OPERATIONAL
68,مطعم زنبق الشام (شاورما_برجر) عالفحم,26.2658843,50.0705618,restaurant,4.3,99,OPERATIONAL
69,ورق عنب سوما | Soma Grape Leaves,26.2661043,50.0715299,restaurant,4.9,86,OPERATIONAL
70,قصر لبدة,26.2654347,50.0707795,restaurant,5,2,OPERATIONAL
71,باستا واندومي اسرع لقمه,26.2657543,50.0708663,restaurant,4.1,34,OPERATIONAL
72,مطعم رشتة,26.2657492,50.0715265,restaurant,4.3,14,OPERATIONAL
73,كبدة حجازي، حي الثقبة,26.2702452,50.18668350000001,restaurant,4,1525,OPERATIONAL
74,Traghif,26.2731102,50.1854834,restaurant,4.9,134,OPERATIONAL
75,Burger Al Mashwi برجر المشوی,26.2694549,50.1869325,restaurant,4.9,9,OPERATIONAL
76,كبة قدورة,26.2696827,50.1869135,restaurant,3.9,8,OPERATIONAL
77,مطعم رايق,26.2704106,50.1928548,restaurant,4.1,2395,OPERATIONAL
78,Belad Al Sham Grills & Resturant,26.2746926,50.1900114,restaurant,4.2,6155,OPERATIONAL
79,Peshawari Kabab House,26.2722067,50.1945545,restaurant,4.2,5120,OPERATIONAL
80,Shwaiat Al-Khalij,26.2694231,50.1899172,restaurant,4.1,4995,OPERATIONAL
81,Abu Hilal Resturant .,26.2707389,50.1937917,restaurant,4.3,4506,OPERATIONAL
82,RAYG Restaurant,26.2768731,50.1953473,restaurant,4.2,2316,OPERATIONAL
83,Kufa,26.2800573,50.1918481,restaurant,4.1,2847,OPERATIONAL
84,مطعم عيال بحر,26.268876,50.1872777,restaurant,4.2,2178,OPERATIONAL
85,Shawaya House,26.272347,50.1951582,restaurant,3.8,1809,OPERATIONAL
86,‏سمبوسة الشرق الاوسط الثقبة الخبر,26.2782168,50.1908089,restaurant,4.1,351,OPERATIONAL
87,مطعم مورغي,26.278467,50.1831141,restaurant,4.2,277,OPERATIONAL
88,Fillfilah فلفلة,26.269262,50.189323,restaurant,3.4,1925,OPERATIONAL
89,Rummaan Hyderabadi Restaurant - Thoqba,26.277554100000003,50.1932628,restaurant,3.8,221,OPERATIONAL
90,GRILL MEAL RESTAURANT THOUQBHA,26.2746153,50.1921146,restaurant,3.8,427,OPERATIONAL
91,Al HABIB RESTAURANT,26.271913,50.1932652,restaurant,4.1,222,OPERATIONAL
92,Lahza shawarma,26.269518200000004,50.1910937,restaurant,3.9,970,OPERATIONAL
93,Shwaiat Al-Khalij,26.2783119,50.190163,restaurant,4.2,73,OPERATIONAL
94,Aleppo Castle Restaurant,26.272636,50.1990971,restaurant,4.1,1296,OPERATIONAL
95,Al Rukun Al Tazaj,26.2700074,50.1916164,restaurant,4.3,1076,OPERATIONAL
96,مطعم الرغيف مصرى,26.2752283,50.1905081,restaurant,3.8,164,OPERATIONAL
97,Dugheither Leisure Island,26.2724065,50.2206811,restaurant,4.4,3316,OPERATIONAL
98,Golden Gate Restaurant Alkhobar Corniche مطعم جولدن جيت الخبر كورنيش,26.2722142,50.2155474,restaurant,4.3,3327,OPERATIONAL
99,Palm Grove Restaurant,26.2771936,50.2121219,restaurant,3.9,1652,OPERATIONAL
100,Sun Room Cafe & Restaurant,26.2721477,50.2211776,restaurant,3.7,4253,OPERATIONAL
101,Raising Cane's,26.268501500000003,50.2162229,restaurant,4.6,2422,OPERATIONAL
102,Karam Beirut - Al Khobar,26.2723521,50.2211958,restaurant,4.2,6236,OPERATIONAL
103,Salkara Family Restaurant,26.278311,50.2036669,restaurant,4,3257,OPERATIONAL
104,Shalimar Restaurant,26.2760473,50.2107317,restaurant,4.1,4180,OPERATIONAL
105,Shekhdar,26.2724916,50.2161857,restaurant,4.6,1333,OPERATIONAL
106,Raye Mashwyat / Grill Patron,26.2693907,50.2068115,restaurant,4.4,5161,OPERATIONAL
107,مطعم باجه وكباب عراقي الخبر,26.2711727,50.210924000000006,restaurant,3.9,580,OPERATIONAL
108,McDonald's,26.266577,50.212969,restaurant,3.8,2118,OPERATIONAL
109,Brasa De Brazil Khobar,26.2720203,50.2205671,restaurant,4.2,5165,OPERATIONAL
110,South Street Restaurant,26.274315,50.2155031,restaurant,4.3,386,OPERATIONAL
111,Sanbok Restaurant,26.2718302,50.2207358,restaurant,3.7,3637,OPERATIONAL
112,Taj al Hind Bollywood Kitchen,26.2668778,50.2127616,restaurant,4.8,4594,OPERATIONAL
113,Egah Restaurant & Cafe - مطعم ايجه,26.2717584,50.2209392,restaurant,4.1,593,OPERATIONAL
114,Anjappar Indian Restaurant - Khobar,26.2698125,50.2163125,restaurant,3.7,1375,OPERATIONAL
115,Melrose Lounge,26.2767687,50.2199774,restaurant,4.6,1667,OPERATIONAL
116,Como Seafood Restaurant,26.2782373,50.2189709,restaurant,4.1,3898,OPERATIONAL
117,Golden Juice,26.2700575,50.2125349,restaurant,4,2110,OPERATIONAL
118,ميز وحدات المنطقة والقاعدة,26.292812,50.0177777,restaurant,4.3,4,OPERATIONAL
119,Restaurant and Mandi Rehab,26.296407,50.0349877,restaurant,3.8,1725,OPERATIONAL
120,مطعم أبو الطيب ( فرع جبرين) Abu Tayeb Restaurant ( branch of Gabrin),26.2950627,50.0342307,restaurant,3.8,427,OPERATIONAL
121,ALKARAK,26.2958212,50.03428840000001,restaurant,3.9,649,OPERATIONAL
122,Herfy,26.2949657,50.0346039,restaurant,2.8,264,OPERATIONAL
