Place ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status,Google Maps URL
N/A,شركة تالا المتحدة للصناعة,26.2502021,49.985752299999994,cafe,5,2,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Barn's | بارنز,26.241366499999998,49.9974442,cafe,2.5,8,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,شاي علوش,26.241,49.998027799999996,cafe,4.9,8,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,شركة تالا المتحدة للصناعة,26.2502021,49.985752299999994,cafe,5,2,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,شاي علوش,26.241,49.998027799999996,cafe,4.9,8,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Cafe Cairo,26.2379085,50.1964718,cafe,3.7,3056,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Share Lounge,26.244137499999997,50.198656199999995,cafe,4.6,757,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهى ليالي الكيف,26.251799300000002,50.197443799999995,cafe,4,361,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,la melograno lounge,26.2421635,50.1982876,cafe,4.3,258,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Tea Hessa,26.2487593,50.1981057,cafe,4.7,83,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Mantorose Cafe,26.2562009,50.1937879,cafe,4.3,93,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Barn's | بارنز,26.2502376,50.202686899999996,cafe,3.9,19,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,TCG - The Coffee Group,26.250623599999997,50.198796,cafe,5,23,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم طريق الحرير,26.2423087,50.198274299999994,cafe,5,2,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Share Lounge,26.244137499999997,50.198656199999995,cafe,4.6,757,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ceasario,26.255441599999997,50.220722599999995,cafe,4,875,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهى ليالي الكيف,26.251799300000002,50.197443799999995,cafe,4,361,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,la melograno lounge,26.2421635,50.1982876,cafe,4.3,258,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Espresso Station اسبريسو ستيشن,26.241577099999997,50.2145021,cafe,4.4,153,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Tea Hessa,26.2487593,50.1981057,cafe,4.7,83,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Tim Hortons,26.240678799999998,50.21445250000001,cafe,4,239,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Barn's | بارنز,26.2502376,50.202686899999996,cafe,3.9,19,OPERATIONAL,https://maps.google.com/?cid=N/A
