keyword,Title,Review_Count,Rating,Address,Country,City,State,Google_id,Place_id,Latitude,Longitude,Category,Price_Range,Current_Status,Transportation & Travel,Hotels & Hospitality,Public & Government Services,Education,Religious Institutions,Home & Construction Services,Finance & Services,Entertainment & Recreation,Retail & Shopping,Health,Beauty & Wellness,Restaurants,Coffee Shops,Food & Dining,POI Density,Avg Rating - Restaurants,Avg Rating - Coffee Shops,Avg Rating - Food & Dining,Avg Num of Reviewers - Restaurants,Avg Num of Reviewers - Coffee Shops,Avg Num of Reviewers - Food & Dining,Total Num of Reviewers - Food & Dining,Direct Competition - Same Category/POI Density,Indirect Competition - Food & Dining/POI Density,Indirect Competition - Opposite Category/POI Density,Population_Within_1km,Population_Within_2km,Population_Within_3km
Coffee shop,مقهى بساطة coffee Basata,169.0,4.8,"شارع خادم الحرمين - الظهران, Al Khobar 31952, Saudi Arabia",SA,Al Khobar,,0x3e49e99c0ed45945:0xb5c1f6f04d1b52e5,ChIJRVnUDpzpST4R5VIbTfD2wbU,26.2847233,50.1960392,coffee shops,,,0,0,0,0,0,0,0,0,1,0,0,19,1,20,20,4.221052631578948,3.9,4.225,4599.684210526316,9066.0,4462.25,89245.0,0.05,1.0,0.95,83995,263304,366054
Coffee shop,Weeks coffee,15.0,4.8,"C4W2+2RP, Al Souq, Dammam 32416, Saudi Arabia",SA,Dammam,,0x3e49fb224fbf4255:0xc4947d58a69ef687,ChIJVUK_TyL7ST4Rh_aeplh9lMQ,26.4450866,50.1020903,coffee shops,SAR 1–20,,0,0,0,0,0,0,0,0,1,0,0,18,2,20,20,4.127777777777777,4.0,4.115,1228.8333333333333,372.0,1143.15,22863.0,0.1,1.0,0.9,71124,200285,344955
Coffee shop,Remedy Roasters & Specialty Coffee | ريمدي محمصة وقهوة مختصة,1194.0,4.9,"King Abdullah Bin Abdulaziz Road, Ash Shati Ash Sharqi, Dammam 32211, Saudi Arabia",SA,Dammam,,0x3e49fb6b24131577:0x26026498f8fae40b,ChIJdxUTJGv7ST4RC-T6-JhkAiY,26.4794329,50.132684,Coffee roasters,SAR 20–40,,0,0,0,0,0,0,0,1,9,0,0,5,12,20,20,4.18,4.366666666666666,4.305,2529.2,1377.3333333333333,952.3,19046.0,0.6,1.0,0.25,8202,18606,26760
Coffee shop,Coffee house,7.0,4.4,"EDJD8547، 8547 السادس عشر، 3741، حي السوق،, Dammam 32242, Saudi Arabia",SA,Dammam,,0x3e49fd61415f7df9:0xbfa51157adfd4c02,ChIJ-X1fQWH9ST4RAkz9rVcRpb8,26.4420995,50.099043,coffee shops,,,0,0,0,0,0,0,0,0,1,0,0,19,1,20,20,4.157894736842105,4.3,4.165,1330.3684210526317,246.0,1276.15,25523.0,0.05,1.0,0.95,74207,219551,353675
Coffee shop,TCG - The Coffee Group,23.0,5.0,"8070 King Khalid Rd, Sinayiat Al Thuqba, 2678, Al Khobar 34626, Saudi Arabia",SA,Al Khobar,,0x3e49c349b4281f1b:0xb2f679c5d2e7109,ChIJGx8otEnDST4RCXEuXZxnLws,26.2506236,50.198796,coffee shops,,,0,0,0,0,0,0,0,0,7,0,0,12,8,20,20,3.85,4.4375,4.1,321.25,204.875,275.95,5519.0,0.4,1.0,0.6,6533,63538,160481
Coffee shop,Ev Coffee shop,1.0,5.0,"6487 Westblaak، حي قرطبة, 6، EAGA3418، 3418, Al Khobar 34236, Saudi Arabia",SA,Al Khobar,,0x3e49e90021e021f5:0xb2b8ee6a23a6d446,ChIJ9SHgIQDpST4RRtSmI2ruuLI,26.3366092,50.1868495,coffee shops,,,0,0,0,0,0,0,0,0,8,0,0,11,12,20,20,4.127272727272727,4.35,4.265,939.3636363636364,416.75,691.85,13837.0,0.6,1.0,0.55,18816,46263,100813
Coffee shop,Mana,46.0,4.5,"As Safa, Unit no. 20, 8021 king saud road, Dammam Saudi Arabia",SA,Dammam,,0x3e49e544e0d1429b:0x8aa339bfacaac4bd,ChIJm0LR4ETlST4RvcSqrL85o4o,26.3889743,50.1783801,coffee shops,,,0,0,0,0,0,0,0,0,9,0,0,12,6,19,19,4.066666666666666,3.9333333333333336,4.157894736842105,761.25,656.3333333333334,694.1052631578947,13188.0,0.3157894736842105,1.0,0.631578947368421,9972,23479,56877
Coffee shop,ديڤا كافيه -Diva coffee,48.0,4.7,"94PC+MP, Al Basatin, Dammam 32235, Saudi Arabia",SA,Dammam,,0x3e49e5000c8dc433:0x76d1f62d9a59698f,ChIJM8SNDADlST4Rj2lZmi320XY,26.3860503,50.1221636,coffee shops,SAR 1–20,,0,0,0,0,0,0,0,0,10,0,0,6,11,17,17,4.05,4.43,4.2875,29.83333333333333,53.2,44.4375,711.0,0.6470588235294118,1.0,0.3529411764705882,9256,28385,64044
Coffee shop,Chemistry Coffee كيمستري كوفي,1384.0,4.1,"Alimam Muhammad Ibn Abd Al Wahab, Dammam 32271, Saudi Arabia",SA,Dammam,,0x3e49e36613befa59:0xcf84b23b06a2cc52,ChIJWfq-E2bjST4RUsyiBjuyhM8,26.3458802,50.0463409,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,9,0,0,12,7,20,20,3.9,4.214285714285714,4.04,938.4166666666666,585.4285714285714,734.5,14690.0,0.35,1.0,0.6,24841,55671,97327
Coffee shop,‏Blue Star Cafe | بلو ستار كافيه,1154.0,4.2,"King Faisal Ibn Abd Al Aziz, Alkurnaish, Al Khobar 34412, Saudi Arabia",SA,Al Khobar,,0x3e49e9858991555d:0xde9f50a16beb9f5f,ChIJXVWRiYXpST4RX5_ra6FQn94,26.3272612,50.215125,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,13,0,0,7,13,20,20,4.4,4.292307692307692,4.3100000000000005,2405.0,1035.4615384615386,1487.25,29745.0,0.65,1.0,0.35,14885,37520,89041
