Place ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status,Google Maps URL
N/A,KFC,26.2446774,49.9814928,restaurant,3.9,1341,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Apsara Restaurant,26.241051799999997,49.974508,restaurant,3.7,338,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Sakbe Restaurant,26.2454121,49.981569799999995,restaurant,3.9,646,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Golden Oven Bokhari Restaurant,26.2385147,49.9719934,restaurant,3.8,1247,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Rakan Al-Bukhari Restaurants,26.2454172,49.981711399999995,restaurant,3.4,366,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,فوال نور الصباح,26.245312499999997,49.981562499999995,restaurant,4,261,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Taj Al Masi Broasted,26.241164100000002,49.9742551,restaurant,4,293,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,كفتيريا و بوفيه جبل الزيتون,26.2448795,49.9812879,restaurant,4.5,69,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Harakat al barakat restaurant,26.236775599999998,49.9698608,restaurant,4,86,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Eastern Delight,26.238167699999998,49.9720491,restaurant,4.1,38,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,FUNNY DUCK,26.244819399999997,49.9813657,restaurant,3.9,45,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Iconic restaurant 1,26.238334199999997,49.971848699999995,restaurant,3.8,14,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Modon Lake Restaurant,26.2366255,49.9695566,restaurant,4,132,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Maimoona Restaurant,26.2365982,49.969422599999994,restaurant,3.6,25,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Mehmoona Restaurant,26.2411085,49.9743615,restaurant,3.7,17,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,RESTAURANT RUKAN MULTAN مطعم ركن ملتان,26.2408609,49.9741297,restaurant,4.8,6,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Nouf Restaurant,26.2385833,49.971801,restaurant,3.8,180,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,قمر الضواحي,26.2413861,49.974094900000004,restaurant,4.3,6,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Fast food restaurant,26.245208299999998,49.981575799999995,restaurant,3.7,49,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,KFC,26.2446774,49.9814928,restaurant,3.9,1341,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Sakbe Restaurant,26.2454121,49.981569799999995,restaurant,3.9,646,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Rakan Al-Bukhari Restaurants,26.2454172,49.981711399999995,restaurant,3.4,366,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,فوال نور الصباح,26.245312499999997,49.981562499999995,restaurant,4,261,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,كفتيريا و بوفيه جبل الزيتون,26.2448795,49.9812879,restaurant,4.5,69,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,FUNNY DUCK,26.244819399999997,49.9813657,restaurant,3.9,45,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Fast food restaurant,26.245208299999998,49.981575799999995,restaurant,3.7,49,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,food & drinks,26.2413034,49.9983703,restaurant,4.7,15,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,بوفية سفرة اليوم للوجبات السريعة,26.2411674,49.99804710000001,restaurant,5,4,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,حكاية,26.2502021,49.985752299999994,restaurant,5,1,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,food & drinks,26.2413034,49.9983703,restaurant,4.7,15,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,بوفية سفرة اليوم للوجبات السريعة,26.2411674,49.99804710000001,restaurant,5,4,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Ghaim Kitchen,26.2559965,50.0702991,restaurant,5,34,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Ghaim Kitchen,26.2559965,50.0702991,restaurant,5,34,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Madhghoot Tehamah(MT),26.2498583,50.1987685,restaurant,4.2,1172,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,بوفيه نورالشرق,26.2614509,50.1905729,restaurant,4,10,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم المضغوط الناضج,26.2500382,50.2016596,restaurant,4,652,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطاعم البراري البخاري,26.2500547,50.2015969,restaurant,4,259,OPERATIONAL,https://maps.google.com/?cid=N/A
