,name,rating,num_reviews
ChIJO32VqRX_ST4RX7dnLqB0wU8,Fareej AlBaja,3.9,957
ChIJtVfHbm39ST4RhNkfwSwW0Mg,GRAPH Cafe,4.2,1763
ChIJlwO6Fh39ST4RWB1GEkVD_xk,Reef misr restaurant,4.3,235
ChIJGad6ufPlST4RSy79CTEpKTg,Blue K Lounge,3.9,9
ChIJW-3eM5T7ST4RZPB_aioXPBg,Maestro Pizza,4.4,1018
ChIJ5f1lrJvjST4RkQiap8sj5kI,مشويات سماء الرافـديـن,4.8,117
ChIJU-WLh9XiST4RH7uxncXi-V0,Snack House Al Faisaliyah,3.9,1141
ChIJ_1B8VPvlST4R5eDkYGldiS0,Shawarmer | شاورمر,4.5,885
ChIJy6n3UHn9ST4RyYg9sPXPuA0,عريكة الديرة,4,1505
ChIJ-8FHQUTDST4RelRKzuTmxxI,Moroccan Taste,4.2,646
ChIJQTJ-deP9ST4Rqi31YsWJk3M,Baskin Robbins,3.7,39
ChIJu7ingM__ST4RxDoMaeVdp-M,Mashmum Restaurant,3.9,3409
ChIJESZWFWvDST4R607ZE-MjBhI,شاورما أصيل,3.9,780
ChIJ-cj-WbD7ST4Rb_0poqaCG4Q,Burger Site,4.3,3578
ChIJd18xORvlST4Rb3U2DDqm99g,Belad Al-Sham Restaurant,4.1,1813
ChIJH1JLbH_pST4RkkJBnfxUtvo,Ninar restaurant,4.5,9582
ChIJ8SlQTCXvST4RTMo5SvUqjVM,Blue Sky Coffee,4,193
ChIJETKZ2WbmST4RDCg0r0Vqb14,Burger King - KFU,3.5,169
ChIJkWd7ZXvdST4R4O2HLvNR6r4,DOSE & JOUZ CAFE دوز اند جوز كافية,4.1,40
ChIJwQVN5MYdNj4RuieGXjfeFiA,Bogota Cafe,3.8,117
ChIJt4-Xd8zDST4RFZKICD1pVU0,هول بين,4.8,566
ChIJMenwjWvDST4RSqXJwxTinm8,ميلتزون | Meltzone,4,755
ChIJS0IIsM7bST4RZ303TKlgDY4,القهوة المثالية (العزيزيه),4,61
ChIJvXaB2d37ST4Rk83Esmi6Z-I,Burgerizzr,4.4,872
ChIJnaUHgIz9ST4RDoXDaaetwGo,Wreath Valley Restaurant,3.7,691
ChIJIam4vi77ST4RDqDLYkhEKzI,كبة وردة,4.1,12
ChIJNYNdzED8ST4Ra3-ntBg8Jt4,مطبق ومعصوب مطعم مشهور الخليج,4.1,1086
ChIJT63BgNXiST4Rm_QWIEFs2wI,مطعم رايق,4.1,5516
ChIJy7WSqmvFST4Rg4bb32toYZk,One Thousand Burger,4.4,358
ChIJ91oNgnLpST4RLLQkWH6KEXs,BRK Burger,4.5,616
ChIJT4bEDnHvST4RgStzgWU1K2M,Habak,4.2,664
ChIJXwKi6ZvvST4Rt8Q0QY3DsHY,مطعم هاشم,3.6,786
ChIJMw5pTabkST4RVlGPCwJe5J0,Masmakat Al Fareej,4,2174
ChIJp1Gsw77_ST4Ro7S1xvFft4c,Fantôme,4.3,224
ChIJDaebBq_pST4Rr4ltmYfcIhU,رسمة شاي,4.5,448
ChIJh91TzzfpST4RlT9KLtl-my8,ARCHI ارتشي,4.3,410
ChIJWzOOVADpST4RHDThh0N_IGs,Qasha coffee,4.1,65
ChIJ5SGNJVz-ST4Ri1dK0S_wvtE,KFC,3.7,1288
ChIJFWFgarDkST4Rn1KIIDRAE8g,Road Café | قهوة الطريق,4.3,218
ChIJh_HgDQ_8ST4Rkd9AjgFV9qE,Closed Asalatalhind,3.6,875
ChIJyZlFRNX9ST4ReIubO8mSKKc,Tim Hortons,4.2,780
ChIJW9nClbLpST4RQ_VTOdWkcZM,صهوه شاي بخار,4.1,633
ChIJsUts6qPdST4RRTKGmBXXYcA,مطعم نقطة لذيذة,4.3,62
ChIJy_nHztjjST4RK7XRrRDZzrQ,KiiN,4.3,1240
ChIJX8mBmpjCST4RHFeIQfoWpiQ,Eastern Broasted,3.9,268
ChIJYSC_JyD9ST4RDKotBz8tVYw,Kishna Restaurant,4.2,1609
ChIJg81nzjXDST4RlNoJuMKDw8E,New Al Madina Al Bukhair Restaurant / مطاعم البخاري,4,1003
ChIJ5YNt4P_lST4RpiJpTZH9sts,Dallat Alfaris مقهى دلة الفارس,4.1,1147
ChIJmzCJ-K79ST4ROejiCarkPuo,Shrimp Caption,4.5,1757
ChIJW4ux493_ST4RLObtDxZPEk4,استكانة شاي,4.5,171
ChIJ7UBERZX7ST4RHFb4HeWMoto,Fudge Chocolate Cafe,4.2,1804
ChIJP3nBkBX9ST4RqP8quhv2T1Y,بن عفيف الدمام,4.2,190
ChIJ4x4D35T_ST4RJQBoNPHgMj4,شاي بتال,4.8,510
ChIJWy008T3DST4R3EWjazhYL1s,Diwaniya Zaman Baraka,4,190
ChIJi2THLhL_ST4R-0IosEFyXKQ,Ace Cafe & Lounge,4.1,551
ChIJK2XUIXL9ST4Rk99J9GkJEP0,Lemons | ورق عنب ليمونز,4.4,772
ChIJLSKZSyLDST4RJT7Rv4CaW8E,Pastel aziziah باستيل العزيزيه,4.2,303
ChIJ4y7USRPlST4REeJ_2AUiivs,90'S BROASTED بروستد٩٠,4,470
ChIJlVpIF8T7ST4RHsm1MN38kBY,براير كافيه Briar Cafe & Tea room,4.2,790
ChIJhbeSvLHjST4Rs2gjA-4UXoM,غنم وغنم,4,177
ChIJ39VP68v_ST4RWc6v8N6u6JA,مركز انوار النسائي,3.7,6
ChIJN3tmwvflST4RQfR6Ocvo8qM,بوس كافيه BOSS CAFE,4,358
ChIJQfB3PyboST4RZTwdftHZW5M,Golden Restaurant,4.1,539
ChIJH7vnURb9ST4RW8T5fvWAC18,Tim Hortons King Saud Noor,4.3,163
ChIJFSDC_5DpST4RT0lG5ffXoGk,Mandhi Al Ahsa,4.2,1696
ChIJi1PO_a0fNj4R2gLwQt0wcKk,We Burger,4,578
ChIJo0FXUlD_ST4REuao8ndYMFk,Aldehleez Barbecue مشويات الدهليز,4.1,1077
ChIJE7PrA2H9ST4R032iav3SHDs,Starbucks,4.2,235
ChIJCTmQxdPlST4RcOgEbt3gsKk,مطعم ومطبخ دانه - Dana Catering,4.1,768
ChIJdY5yAR79ST4RZNl9B8_wgA4,كرك باشا,4.6,146
ChIJE1ZRGu3mST4RSuCp8_KaBGw,Tandoori House,4,1379
ChIJEzvlqUzDST4RG4R60fzV7Gs,Golden Gate Restaurant Alkhobar Corniche مطعم جولدن جيت الخبر كورنيش,4.3,3301
ChIJnxg0UhT8ST4RcbQj-Y4WIGU,AICHS,3.6,81
ChIJF39kMKLcST4R3uAsZixUmmc,Kaif Alsharg,4.1,258
ChIJ1wAXYgDvST4R5VWfYyPIblM,Hokm cafe-مقهى حكم,4,41
ChIJHRevhwz_ST4RQ_fK4bUg8DA,MR OBA | مستر اوبا,4.3,314
ChIJ9QCOX8z_ST4RAm-y-02s99g,معلم البرجر,4.3,26
ChIJ5-ZDCHzoST4R4ROoNX-lRAE,زمرت | Zümrüt,4.1,1355
ChIJqQ3SXl37ST4R-UXiUvQYRD0,STREAT | ستريت (Dammam),4,411
ChIJZ1p0p2rDST4RwSqdzqknkI0,Helena Pizzeria هيلينا بيتزاريا,4.5,287
ChIJ2QcFSJn7ST4RQIDQnjClCfI,Albahar Restaurant,3.7,2032
ChIJa8iyuk79ST4RjJbYoUZ-hQI,Pickles,4.3,502
ChIJ_fYT-zX_ST4RmmSogop8y0k,زعيم المشاوي,4.1,105
ChIJi4JeIZb7ST4Rqn-MDxC0d_I,Lafana Restaurant,3.9,1879
ChIJKcXRHir9ST4R63rJkcM41BU,مطعم أبو النور,4,246
ChIJXTj0FMP9ST4RmvG0ZBEAk1k,ماما بنز كافيه | MammaBunz Cafe‏,3.4,89
ChIJDThRokXpST4Rw-SG-pPN2l4,Cosmo Drive Thru,4.5,521
ChIJaZ-R6CTjST4RuUAfawKidq8,Bakes & Grills,4.8,13
ChIJwZL03t3pST4RykSVSHzdnMQ,ورقة شاي بخار,4.8,166
ChIJzWo3u5n7ST4RolmbVG32fiA,Shawrama Hlayel,4,2815
ChIJoZv06UvoST4RTUF_gfca3-4,Sensations Coffee & Co كوفي سنسيشنز,4.3,1818
ChIJKaf5pNnnST4RJQHhHmjWMQk,Royal Gulf Chinese Restaurant,4.1,964
ChIJj23s0I7pST4RF8Bg01K762o,GRNTER,4.4,1488
ChIJ1WyNXQH7ST4RcRCeHS8ERTg,Moroccan Taste,4.2,222
ChIJqdyLS0v7ST4RhFen7UM5TOQ,Oliver Brown,3.3,167
ChIJ9zjeHlf7ST4RYeD3PfGHkQg,Salad Meal Dammam,4.5,112
ChIJwxOdSZrCST4Rf1RAQ8Hq6C4,Diwaniya Mishraq,4.1,427
ChIJfd1NPMj7ST4RkviXo3P_QHs,Barn's | بارنز,4.1,59
ChIJTROG4CTjST4Roabky2eDXCU,Blanco,4.3,832
ChIJOSF84fXvST4RMqiRdn7E-y8,ANJIK Restaurant,4.3,2765
ChIJZZHqayXpST4Rf5e87_6iKBc,Aleppo Castle Restaurant,4.1,1286
ChIJjdctSGvDST4RzE-p9grz2IE,Qasr Taj Hadramaut Mandi Restaurant,3.8,264
ChIJw3oPDw_7ST4RoVFvqt6zq40,مطعم النوخذه الشرقي,3.9,1941
ChIJMTyxKlPpST4RDG0sKzbEedE,جاي عراقي,4.6,1005
ChIJZVlPDqf9ST4ROD3ww6bRP5A,مطاعم بحريات خليجي للأسماك الطازجة,4.1,916
ChIJMxurJHb_ST4RBr2th0xLWHs,Pasta Roma,4.2,54
ChIJXcHhfjroST4RZo5uKgYPJx8,Heny Broasted,4.2,2282
ChIJqRloUi_pST4RipspUj2J-B0,Tea Tree شجرة الشاي,4.6,336
ChIJ0Q_S9UjnST4RHMz8oinFhAQ,Asmahan Restaurant,4.5,491
ChIJ6yxhElcBNj4RFy5fyHfwy2w,مطعم جود للمشويات بالملاحة,4.8,32
ChIJe9-HDLr8ST4RLsFCmGev8Ts,Alturkistani Restaurants,3.7,476
ChIJPzaROz_9ST4RsDMisuQOpXg,مطبخ مها للولائم,4.1,351
ChIJd4SicBP9ST4RqQUUEHLf8Fg,KFC,3.7,1136
ChIJTfg9T0v7ST4RklE9JjM0AbY,موكا & مور,3.7,35
ChIJAePDyiP9ST4RdbY2OqMaHeI,YA Mal AlTeeb مطعم يامال الطيب,4.2,3884
ChIJP7cE_d38ST4RrFhdbkhF7S8,Herfy,3.6,931
ChIJe9_0XnLoST4RElQgPJYidro,Shawatee alshawaya Restaurant,4.2,4082
ChIJd1i--PrvST4Ri41QTt8gC-k,Umami,4.5,445
ChIJYV1BQ_X9ST4RajB4IF0obKA,Papa John's,4.3,441
ChIJpw0OtAzmST4REdmBeYCC21o,Hardee's,4,330
ChIJ9ZHnezjDST4RiCGrqs9J5X8,Casa Pasta | كازا باستا,3.6,898
ChIJfbVCYFT7ST4RvgAILq3yX9c,ALFREEJ ALAWAL | الفريج الأول,3.8,1368
ChIJ0-Ajyxf9ST4RdiNzx4oQenU,Cafficha Coffee,4.3,331
ChIJIcy3TX_lST4RjeGJYJFYdQ4,Kebdat Hijazi,4,1577
ChIJk-GtdfPjST4RqKHCwN_7_A4,مشويات ملتقي الرافدين - حي طيبة,4.7,8124
ChIJ2Uvo0tjDST4RcAFtgtrPq_U,Kufa,4,416
ChIJn2jluJrpST4RHKODZ1Puqcg,Mirror Maze by Bright Avenue Entertainment,3.8,121
ChIJnc8VhaPnST4RErlYiVSWHyg,Lily Cafe & Flowers,4.5,2509
ChIJER4NJMzmST4RvyQEnZBNNfA,Dhahran Hills Snack Bar,3.8,72
ChIJj0aleBTDST4RdeLqT6vU1FE,AlBaik,3.8,3769
ChIJ_-oW-4_pST4RdKF1iQ8oKy4,Matal,4.5,3865
ChIJGSzCIzrDST4RSqO_zwNoozY,Raei Alsamak,4.3,436
ChIJ0517vujiST4Rt4JsJ-EetvE,Salem Pastry,3.8,552
ChIJISCnkxfjST4RPfcLvtIjWRk,Masterpieces Sea Waves,4.5,4243
ChIJC8UpeDz9ST4RB6ROCLF4-yE,Starbucks,4,833
ChIJg-0n7ZL7ST4RFZUUqGJKCUQ,جدر مندي الحسا- فرع المزروعية,4,619
ChIJt8m9YDP9ST4Rf23yj8_n5no,Gardens Restaruant & Lounge,4.6,2055
ChIJg098REvoST4RMWWk9G4j6NM,Fusion Restaurant,4.2,85
ChIJh5KI03npST4RzicbiRYUDrU,COFFÉA,3.8,1357
ChIJYS_iDqzjST4RibOAtUdLmK4,Barn's | بارنز,4.4,88
ChIJteMZJybDST4R7UK_adius5I,Kyan Cafe,4.2,752
ChIJi4RDMl3DST4RjcktFTp6iKQ,Eastern People Seafood,3.9,1013
ChIJG-e-fQj9ST4RM_QGwIN-NxY,TAG Restaurant KSA- مطعم تاغ,4.2,1391
ChIJe_6SKa77ST4R1oJIkc2Djik,مطعم روابي الشام,3.7,904
ChIJKRjOWmj-ST4RZIpx6mN28Oc,ماي ورد,4.3,269
ChIJDYc2tdnnST4RZ3QOncwhv1c,Alfour Exquisite Chinese Tea,4.4,27
ChIJP1R77mPoST4R93X7pWyxRcU,Shawarmer | شاورمر,4,3166
ChIJRUHCtpP7ST4Ry1i376W1Sz8,Starbucks (Drive Thru),4.1,2611
ChIJY2EzpBL_ST4RkBxYNrZaZdY,Hamsa restaurant,4.4,588
ChIJfUYFA3b9ST4RHiYsSRct8RI,Hashim Restaurants,3.8,1382
ChIJb20Ltk39ST4Ra3WBv4kVRWk,Broast Rukun Al-Tazaj بروست الركن الطازج,4.5,936
ChIJEVz_-DjvST4RFOOXe_2f-ew,Makbous Express,4.3,1280
ChIJexTT3DbmST4RFnl0O91yZu4,Billy Beez,3.2,226
ChIJ9arwvkP-ST4RDZ8pQZ8vwXg,Madhina Shawarma,4.3,1139
ChIJL38lLAv9ST4RDjGjhfbl_mg,دكان وافل,4.1,227
ChIJpVcu6C_pST4RRdEHvHVdVdU,BOGA - بوقا (Tariq Al-Hussaini),4,889
ChIJE9DrFETlST4Rw401_j_GGsU,Silent Crack Coffee Roasters,4.9,10
ChIJ6ddkxC3lST4RCzVbxWEzC1A,Eastern People Seafood,3.9,791
ChIJ59ZyqqbbST4Rf9lyb_Fyo8I,المشوى العنابي | Ennabi Grill,3.2,134
ChIJt6Mp8pT_ST4RAzkbojSoWzY,القهوة المثالية (سيهات),3.7,54
ChIJMcyDWEjoST4RCjb-B1UdehA,Belad Al-Sham,4.3,8394
ChIJ_____wToST4R7SkrrW2c3EI,Fata'ir Al Taif Restaurant,4.3,490
ChIJo3cyXyn_ST4R_18uKmyE2ho,ديب برجر deep burger,4.8,60
ChIJP_tsXLnpST4RxGWgIsaNBPg,‏سمبوسة الشرق الاوسط الثقبة الخبر,4.1,321
ChIJO2w4oJz9ST4RTj5KAwQHza4,مطعم طنجرة,3.6,432
ChIJnadPxxHoST4R_rRlHMx_FAk,Marrakesh Restaurant,3.5,253
ChIJuWvc-n37ST4R_0c1T3dU8Pg,Starbucks,4.3,1114
ChIJjx5UqornST4RKgi5KpUTHwQ,المشوى العنابي | Ennabi Grill,3.1,208
ChIJvaTLd-rpST4RD69Vo56pvgI,TL Coffee,4.2,299
ChIJdaR0PGP9ST4RtEtRMJjLxiE,Ocaso Specialty Coffee,4.6,245
ChIJV3sbDJn7ST4R44RzBXqnDdY,Boromana Restaurant,3.6,1747
ChIJuR3Pad3pST4RHFDjGG9qp70,SECCO by COFFÉA,3.9,189
ChIJXwsKj2TjST4RP1-OZYj3cI4,مطاعم حنيذ الجنوب - المنار,3.7,655
ChIJiW2-oqH_ST4RTCrDQZWD0Mo,Valen,4.2,1045
ChIJgVrZ-VP_ST4RUp1nq2sbafM,مطعم باي كوزين للماكولات البحرية Pi Cuisine restaurant,4.2,759
ChIJVxKAJIn9ST4Rzf4fA0ZCKEQ,Hardee's,3.7,1086
ChIJIxG1jnTDST4Ra3Myu-PmVRE,Gacela Cafe,4.7,103
ChIJq13phYTCST4R33YyYZQ4GxU,Makbous Express,4.4,1407
ChIJ1egs_ProST4R5QT1WtPlJGc,The Blue,4.4,182
ChIJVW92oRb9ST4RUJNjCg6KWZ8,Madghout Touhama,4.2,4811
ChIJpb1_BafvST4RGN5MOezo2k4,Lorenzo Pizza | لورينزو بيتزا,3.6,124
ChIJj6ruI5n9ST4Ro01hP45pnJ0,Tim Hortons Mazaya Dabab,4.2,319
ChIJnUqjDHjmST4RVAlxzP2RmrU,McDonald's,3.8,4262
ChIJXTV2K8TvST4RiEk2wX4m_Y4,Wadi Shawaya Restaurant,4.1,324
ChIJ5azCLIL7ST4RZW_leyVglL8,Al Kabsh / الكبش,4,2872
ChIJFZVidObpST4R_uLkBUI7jKc,Los Chavos Tacos,4.4,933
ChIJq4ksFXLjST4R4OaCY3IkRKg,الروشنة للمأكولات الخليجية,4.4,753
ChIJMTX-exr9ST4RnL522wgKag0,حارة ورد الدمام | Harat Ward Dammam,4.8,6000
ChIJpWjRDQv9ST4RO1FI602VlBU,I Wish Burger,3.7,465
ChIJy2JTR7_pST4R1FWDy1S8NzQ,Chef Culture,4.1,486
ChIJ06qdPmjpST4RXVhwnjW-PWM,Sallel Tea,4.5,633
ChIJk3qqDkD9ST4RGSzibT52Jt0,CORE COFFEE & ROASTERY,4.4,385
ChIJ-Z5JMpTpST4RTjAq3Yl-ap4,Bistro,4,407
ChIJjyFFwCX7ST4RZyKhw8FQYgY,Kyan,4.2,751
ChIJs2-k55zCST4RQaVCuzfasgc,Al Omda Restaurant,3.6,63
ChIJ5zdefPXvST4R84lU2UcEcXk,Students Housing Building R12 6,4.4,22
ChIJh9x6FTH_ST4Rh2Vtz_W_HXg,Poots speciality coffee,4.7,172
ChIJS5adJML7ST4RzNi3udm9cFo,Beach Park Restaurant & Lounge,4.4,2625
ChIJ0x0i4Qv8ST4Rv3dfI-kB9Aw,SLIDERCODE - سلايدر كود,3.8,1385
ChIJRQkoignnST4Rb8McDRUJLEk,Shrq Coffee Roaster (King’s Park),4.4,195
ChIJU_NcdDb9ST4Rf2gjKdyihs8,فيلي ستيكس شارليز,1.7,44
ChIJHYyclGUDNj4RnqOmtSsQgX8,ديوانية ليالي تراثية,3.9,158
ChIJa2HSwo_pST4REzUSWzQUrRY,بروستد الكندي Alkindi Broasted,3.8,495
ChIJG5PizOD7ST4RAxOegVA01zA,Saadeddin Express,2.8,20
ChIJI2HZidr_ST4RyiLj_d8tqhg,قلعة زعفران,3.9,276
ChIJLWQU_wjpST4RwdcieDDV_n0,RAMLA | رملا,4.2,1038
ChIJ2cgK61voST4RbJVtA-tA7oM,Madeleine,4.2,5113
ChIJv9vZaT39ST4Rs7b9YTuH01M,مطبخ المدينة الدمام,4.4,113
ChIJocm8Sgn7ST4RyhcqaA_BTjY,ATYAAB AL TAZAJ,4,2043
ChIJR9ej0hzoST4RgaqpLZecHKE,Abu Hilal Resturant .,4.3,4498
ChIJS3iqStblST4RRnsHFJZ-fCg,ديوانية كيف القيصرية,4.1,421
ChIJbzHOCkfpST4RLcxJHAirhI4,Aghatti Restaurant,4.4,3193
ChIJXVWRiYXpST4RX5_ra6FQn94,‏Blue Star Cafe | بلو ستار كافيه,4.2,1142
ChIJA1rVWjjDST4RcKfC6nIvWlY,Blue Sky Coffee إسكان بلوسكي كوفي,4,29
ChIJ-0_awHTmST4RNj_LBMuKBZ4,Derby Coffee - دربي كافيه,4,156
ChIJszpzJxr9ST4R1lo1pLHQXgo,Kufa,4.1,6832
ChIJHzgZAUf9ST4Rg8Vc0zkWc78,ڤيروتشي كافيه مجمع الدمام الطبي Verocci Cafe ༄,3.9,39
ChIJ9xS1f3vjST4RVPDgl3fghB4,Dahar Tea,4.4,77
ChIJ48iUmzT-ST4Rh1VFoV6QCIQ,مطعم شعبيات الوافي,3.8,213
ChIJ89VOCn7vST4R136wvrx8tuA,SMOG,3.9,415
ChIJs2OhJdj9ST4RBvNCNn-XYc0,مقهى مورث | Morth Lounge,4.2,188
ChIJs4RMeEz9ST4RSmaiDMYZOvc,Fotores Shawarma,3.7,137
ChIJK86Xk2n8ST4RrZUxVLXuA_E,French Crepe,3.9,629
ChIJEd2Kb539ST4RAL1m4EEkMHk,Kudu - Al Andalus Plaza,4,574
ChIJAYDQj-TjST4RQzc-musKulk,SALAD BOX,4.8,39
ChIJmSYeZaXpST4RF2CeoVuutiw,Rolls Rice,4.3,1318
ChIJb-GNkoH-ST4ROXEcx469gRQ,Kudu - Dareen mall,3.6,286
ChIJW9wQH1_5ST4RJHd9tDg7YJQ,Blameda Restaurant,4.1,3955
ChIJJU74xd77ST4RR6junfZnFBQ,30 Days Cafe,4.5,192
ChIJ54qpI-P_ST4RI8o2SkfAl1c,Boho Speciality coffee ... بوهو للقهوة المختصة,4.3,990
ChIJ578s9knoST4RBXkYx941MeU,Ronaldo’s Pizza رونالدوز بيتزا,4.4,2404
ChIJrYnuXUH7ST4RH3YZQUv6DmQ,Herfy,3.6,942
ChIJRUARskXnST4RYp4EyqZBL5E,8Oz Coffee,4.1,275
ChIJwSM_uPj9ST4RSLvg9JQOmow,Blue Star Cafe,4,118
ChIJo2XoQjHvST4R1XlwKa8sF9I,Subway,4.3,621
ChIJO90ARvDfST4RJDCLGVoPgNA,Half Moon Restaurant,3.8,2117
ChIJVS3cm4rlST4RnG8BfBiELOw,LATINUS BURGER.,4.3,141
ChIJEf5kGuT_ST4RJ08LgRdni9I,AlBaik,4.1,2354
ChIJT08dYJvCST4RQr7xmvM48o4,Shabab al Khobar restaurant,3.8,235
ChIJI9Q6gOr7ST4RJy-ldoWvMbI,BERRIES TREE مقهى شجرة التوت,4.4,730
ChIJI0WhNALpST4RvDbGHS_YTjc,Detective cafe,4.7,491
ChIJP3R0Y5TjST4RWYKgvtBHbys,Starbucks,4.2,355
ChIJlUij7lbDST4RG5UT17Ptago,Makbous Express,4.3,1055
ChIJ2Zt_bt_nST4RHjzDA1taUMw,Noodlez,4,181
ChIJXUc7uqvvST4R6GOPnj3yWis,Clean Gourmet,3.6,51
ChIJ_T7LggjnST4RGp3BFgooOps,Merge Restaurant,4,777
ChIJ3YjIQJH9ST4RKrEEOGda0oc,Rummaan Dammam Hyderabadi Restaurant,4.1,1271
ChIJC-hHHTbpST4RDKbq3uDaYB4,Dose Cafe,4.2,92
ChIJKaxgxonDST4R-trek0UXtWM,مشويات ملتقى الرافدين - الخبر,4.2,2513
ChIJx9BT8TXnST4Rq1hrfIxiHYk,Dar Mubarak,4.5,4749
ChIJkTw8BIn9ST4RSIAoADtIDtY,Black Cafe بلاك كافيه,4.3,905
ChIJT7f2CnXpST4Rj5SPorhP8AE,Webrew Coffee Roasters,4.4,1714
ChIJ6Qgjl3T9ST4R2q4dAymtx-E,Cafe Tutti,4,73
ChIJx7jBiGfbST4Rdk9-PA6zGCM,P.F. Chang's,4.3,2463
ChIJKbnk9a3nST4RioKSdfXHASQ,Lorenzo Pizza | لورينزو بيتزا,3.9,158
ChIJKR6TiHrpST4RBi_oNta7bD8,نَصّ,3.6,2125
ChIJ61r5zfb9ST4RtVg8FN2gklc,Meltzone,4.3,398
ChIJVxtUBxPpST4RKGAf64HiS88,Al Rukun Al Tazaj,4.3,1070
ChIJX0_jsEnkST4RMG_lJofT2IM,Bawan Broasted,4,961
ChIJ-YsbfBznST4RugJGINjU2rw,REGAL BURGER,4.6,7532
ChIJaVR91lj_ST4RStXJF6mVS7Q,50’s Hills,4,118
ChIJ2ZyuhNrpST4RcQnsVo45DRE,Masami Sushi,4.3,155
ChIJW-T_Qv_nST4RuvPtvi5E3Rw,Operation Falafel Aramco,4.6,332
ChIJPfr7zmLoST4RvGcJxr6Otqs,The Cuts Urban Kitchen,4.1,3059
ChIJIZkuiqvpST4RHB11oygxL70,REVIVAL ريفايفل,4.4,268
ChIJ84WtAO7oST4R3kIwg30Azk0,Pattis france,4.3,5298
ChIJ5zJJgmP7ST4Rj93ieuB-wmU,Kebabgy Corner ركن الكبابجي,4.3,362
ChIJlUofAiLlST4RCBxK9L-ORNo,Il Vero,4.1,111
ChIJn4-o5Tj_ST4RKPp41Pl10u4,زيرو زون كافيه,3.8,37
ChIJm3rbFmL7ST4R56wWlRsZGe0,24Cafe,4.3,290
ChIJ-XJnmdX_ST4Reu7337n62O0,HOOR CAFE | حور كافيه,4.2,254
ChIJ23fOdr_lST4ROkobiv2d_kw,CAWALEES كواليس,3.8,233
ChIJgzYMnjnlST4R_IqPDUqZvPM,Adola restaurant,3.6,191
ChIJd_XuQF38ST4RpSav9UZDZlk,Ruwai Fried 2 Jalawiya. بروستد روي,3.8,243
ChIJWeN_ee7bST4RojwSsPmBxf8,Samrah | شـاي سمره,4.8,81
ChIJWT4__KL9ST4RyCma7la2jc8,Golden Rawda Kitchen,4,980
ChIJ74vbWufDST4RKhKptBHARPI,Boston's Cafe,4.5,353
ChIJC2up0ukDNj4RR_GsiVLH1-k,McDonald's,3.8,976
ChIJs4P6fjL9ST4RPioCDEp0AWk,مطعم دفتر الاسماك,3.9,204
ChIJyZidejroST4RphUzcadBI3w,مطعم الريف الخبر- AlReef Restaurant,4.1,996
ChIJ95dvA9PnST4ROYCKP3oiktU,Burger Site,4.3,7171
ChIJOzKqAHD9ST4RvOpcEpjY7B8,COPLANT coffee & dessert,4.2,580
ChIJ0WKhXwD_ST4RFurQfumY3tM,Riddle Cafe ريدل كافيه,4.4,12
ChIJDaDFrVHZST4RSO-izWvCQ-E,Cafè Jamoka,3.8,24
ChIJ9U8fCoj9ST4RxwHHhcGXgbc,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.5,183
