Business ID,Latitude,Longitude,Category,Competition,Population Density,Restaurants,Café,Hospitals,Education,Popularity
BIZ_1,26.371365,50.068328,Education,0.17,2132,36,2,10,14,0.02
BIZ_2,26.538896,50.271813,Restaurant,0.14,2640,50,9,6,16,0.89
BIZ_3,26.582002,50.109294,Café,0.83,2932,9,45,5,3,0.13
BIZ_4,26.52601,50.161302,Café,0.33,4518,35,47,0,9,0.23
BIZ_5,26.361706,50.168733,Restaurant,0.53,2103,40,33,7,2,0.3
BIZ_6,26.26774,50.212939,Hospital,0.3,1840,40,37,6,20,0.28
BIZ_7,26.560516,50.036646,Hospital,0.8,3265,13,34,8,15,0.58
BIZ_8,26.579559,50.340625,Restaurant,0.51,1570,5,10,7,19,0.54
BIZ_9,26.341989,50.181686,Restaurant,0.43,1617,33,24,0,2,0.22
BIZ_10,26.364902,50.278122,Café,0.6,1708,2,21,9,14,0.85
BIZ_11,26.467145,50.049588,Hospital,0.39,2117,35,18,9,2,0.44
BIZ_12,26.334176,50.097848,Restaurant,0.13,2660,43,32,4,18,0.8
BIZ_13,26.217311,50.151457,Restaurant,0.75,1212,30,19,9,10,0.56
BIZ_14,26.498619,50.298398,Restaurant,0.55,4113,33,1,3,0,0.28
BIZ_15,26.512181,50.265392,Restaurant,0.72,3143,17,20,0,15,0.5
BIZ_16,26.591416,50.297553,Café,0.4,538,24,37,9,13,0.09
BIZ_17,26.583257,50.269023,Education,0.75,1088,40,37,8,18,0.85
BIZ_18,26.339331,50.258855,Restaurant,0.17,4356,10,12,0,11,0.59
BIZ_19,26.421102,50.391868,Café,0.29,3141,26,31,5,6,0.52
BIZ_20,26.497436,50.31646,Education,0.59,745,19,23,1,20,0.31
BIZ_21,26.362507,50.151443,Restaurant,0.89,3238,47,19,4,19,0.61
BIZ_22,26.211858,50.302093,Café,0.81,3842,23,43,10,4,0.46
BIZ_23,26.567923,50.179885,Education,0.62,4800,21,41,3,10,0.3
BIZ_24,26.294324,50.283256,Café,0.53,3100,44,9,3,6,0.12
BIZ_25,26.584668,50.204677,Hospital,0.22,4592,50,48,5,15,0.13
BIZ_26,26.49333,50.009581,Café,0.49,1489,38,33,6,8,0.44
BIZ_27,26.541883,50.049904,Education,0.11,2955,48,17,9,15,0.51
BIZ_28,26.331784,50.161523,Hospital,0.81,3685,42,44,4,19,0.98
BIZ_29,26.491185,50.240645,Hospital,0.67,1344,40,7,2,19,0.81
BIZ_30,26.21925,50.321792,Restaurant,0.17,4371,1,13,5,5,0.55
BIZ_31,26.441668,50.258815,Hospital,0.9,1205,16,24,1,11,0.75
BIZ_32,26.225473,50.348494,Hospital,0.21,1417,25,15,3,2,0.72
BIZ_33,26.302687,50.169426,Hospital,0.11,2662,15,1,9,8,0.9
BIZ_34,26.273462,50.277723,Education,0.29,723,42,22,8,0,0.99
BIZ_35,26.533133,50.077265,Education,0.48,2080,35,49,2,1,0.26
BIZ_36,26.36819,50.290529,Restaurant,0.79,1709,9,28,7,3,0.64
BIZ_37,26.345015,50.121945,Café,0.86,3156,21,30,4,18,0.2
BIZ_38,26.217617,50.01702,Hospital,0.2,1508,20,12,2,2,1.0
BIZ_39,26.212394,50.39114,Restaurant,0.25,1417,12,48,2,10,0.24
BIZ_40,26.279087,50.350993,Hospital,0.74,1945,47,22,10,19,0.05
BIZ_41,26.551676,50.172769,Café,0.77,995,23,2,10,16,0.88
BIZ_42,26.592026,50.047865,Hospital,0.69,828,20,35,4,13,0.18
BIZ_43,26.485775,50.362391,Café,0.82,1623,22,19,7,20,0.96
BIZ_44,26.231501,50.0254,Café,0.33,2630,38,2,1,8,0.57
BIZ_45,26.46698,50.260942,Hospital,0.4,3483,41,14,4,1,0.33
BIZ_46,26.339697,50.121523,Education,0.68,4760,50,46,0,5,0.66
BIZ_47,26.444727,50.39077,Restaurant,0.56,4540,26,3,2,19,0.25
BIZ_48,26.223125,50.2584,Hospital,0.39,1238,41,11,4,15,0.8
BIZ_49,26.446931,50.375232,Hospital,0.57,3238,15,22,9,14,0.11
BIZ_50,26.356109,50.353102,Education,0.26,2730,22,13,10,4,0.75
BIZ_51,26.202241,50.029842,Education,0.13,1595,8,7,0,13,0.68
BIZ_52,26.40905,50.20661,Education,0.43,1117,8,24,2,0,0.23
BIZ_53,26.251149,50.045547,Education,0.33,4318,29,32,4,20,0.6
BIZ_54,26.463715,50.040122,Hospital,0.14,2496,2,7,6,14,0.68
BIZ_55,26.235219,50.383451,Café,0.45,4459,7,22,7,8,0.93
BIZ_56,26.506993,50.227985,Restaurant,0.25,3472,20,46,3,11,0.85
BIZ_57,26.457029,50.211448,Restaurant,0.37,1650,27,11,9,1,0.36
BIZ_58,26.349331,50.289664,Café,0.2,713,4,32,3,6,0.25
