Unnamed: 0,main_id,gid,level,area,population_count,population_male_count,population_female_count,population_density_km2,median_age,male_median_age,female_medium_age,geometry_region,geometry,centroid,inside_city
0,36546,12341414432441,14,400 meters x 400 meters,87,56.0,31.0,543.8,29,28.0,33.0,"[[[50.11555331276361, 26.47446982344097], [50.11914657390008, 26.47446982344097], [50.11914657390008, 26.47125333152784], [50.11555331276361, 26.47125333152784], [50.11555331276361, 26.47446982344097]]]","POLYGON ((50.11555331276361 26.47446982344097, 50.11914657390008 26.47446982344097, 50.11914657390008 26.47125333152784, 50.11555331276361 26.47125333152784, 50.11555331276361 26.47446982344097))",POINT (50.117349943331845 26.4728615774844),True
1,36547,12341423331311,14,400 meters x 400 meters,156,93.0,63.0,975.0,24,26.0,24.0,"[[[50.18023201322021, 26.478771394242838], [50.180734816454404, 26.480902537483892], [50.183825274356685, 26.480902537483892], [50.183825274356685, 26.477686225428865], [50.18023201322021, 26.477686225428865], [50.18023201322021, 26.478771394242838]]]","POLYGON ((50.18023201322021 26.478771394242838, 50.180734816454404 26.480902537483892, 50.183825274356685 26.480902537483892, 50.183825274356685 26.477686225428865, 50.18023201322021 26.477686225428865, 50.18023201322021 26.478771394242838))",POINT (50.18210783514199 26.479250738284986),True
7,35371,12341441313423,14,400 meters x 400 meters,3053,2356.0,697.0,19081.3,34,35.0,29.0,"[[[50.201791580039085, 26.297429441032612], [50.20538484117556, 26.297429441032612], [50.20538484117556, 26.29420801500768], [50.201791580039085, 26.29420801500768], [50.201791580039085, 26.297429441032612]]]","POLYGON ((50.201791580039085 26.297429441032612, 50.20538484117556 26.297429441032612, 50.20538484117556 26.29420801500768, 50.201791580039085 26.29420801500768, 50.201791580039085 26.297429441032612))",POINT (50.20358821060733 26.295818728020144),True
13,35786,12341434243444,14,400 meters x 400 meters,127,66.0,61.0,793.8,26,26.0,24.0,"[[[50.14789266299191, 26.136248658032287], [50.15148592412839, 26.136248658032287], [50.15148592412839, 26.133022766649862], [50.14789266299191, 26.133022766649862], [50.14789266299191, 26.136248658032287]]]","POLYGON ((50.14789266299191 26.136248658032287, 50.15148592412839 26.136248658032287, 50.15148592412839 26.133022766649862, 50.14789266299191 26.133022766649862, 50.14789266299191 26.136248658032287))",POINT (50.149689293560144 26.134635712341073),True
14,35787,12341432233111,14,400 meters x 400 meters,1096,577.0,519.0,6850.0,26,27.0,24.0,"[[[50.06524765685291, 26.365058700294696], [50.06884091798939, 26.365058700294696], [50.06884091798939, 26.36183915546771], [50.06524765685291, 26.36183915546771], [50.06524765685291, 26.365058700294696]]]","POLYGON ((50.06524765685291 26.365058700294696, 50.06884091798939 26.365058700294696, 50.06884091798939 26.36183915546771, 50.06524765685291 26.36183915546771, 50.06524765685291 26.365058700294696))",POINT (50.06704428742115 26.3634489278812),True
15,35788,12341414433243,14,400 meters x 400 meters,1854,1085.0,769.0,11587.5,29,31.0,28.0,"[[[50.08680722367178, 26.45838646477532], [50.09040048480826, 26.45838646477532], [50.09040048480826, 26.45516952335034], [50.08680722367178, 26.45516952335034], [50.08680722367178, 26.45838646477532]]]","POLYGON ((50.08680722367178 26.45838646477532, 50.09040048480826 26.45838646477532, 50.09040048480826 26.45516952335034, 50.08680722367178 26.45516952335034, 50.08680722367178 26.45838646477532))",POINT (50.08860385424002 26.456777994062833),True
16,35791,12341432114222,14,400 meters x 400 meters,183,101.0,82.0,1143.8,24,28.0,20.0,"[[[50.00416221753279, 26.41655921783393], [50.00775547866927, 26.41655921783393], [50.00775547866927, 26.413341108571203], [50.00416221753279, 26.413341108571203], [50.00416221753279, 26.41655921783393]]]","POLYGON ((50.00416221753279 26.41655921783393, 50.00775547866927 26.41655921783393, 50.00775547866927 26.413341108571203, 50.00416221753279 26.413341108571203, 50.00416221753279 26.41655921783393))",POINT (50.005958848101024 26.414950163202565),True
17,36636,12341432132121,14,400 meters x 400 meters,201,93.0,108.0,1256.3,21,25.0,18.0,"[[[49.986195911850395, 26.390811830315617], [49.98978917298687, 26.390811830315617], [49.98978917298687, 26.38759300302571], [49.986195911850395, 26.38759300302571], [49.986195911850395, 26.390811830315617]]]","POLYGON ((49.986195911850395 26.390811830315617, 49.98978917298687 26.390811830315617, 49.98978917298687 26.38759300302571, 49.986195911850395 26.38759300302571, 49.986195911850395 26.390811830315617))",POINT (49.98799254241863 26.389202416670663),True
32,36211,12341432233241,14,400 meters x 400 meters,89,41.0,48.0,556.3,19,23.0,19.0,"[[[50.08680722367178, 26.358619520983073], [50.09040048480826, 26.358619520983073], [50.09040048480826, 26.355399796848463], [50.08680722367178, 26.355399796848463], [50.08680722367178, 26.358619520983073]]]","POLYGON ((50.08680722367178 26.358619520983073, 50.09040048480826 26.358619520983073, 50.09040048480826 26.355399796848463, 50.08680722367178 26.355399796848463, 50.08680722367178 26.358619520983073))",POINT (50.08860385424002 26.357009658915768),True
91,36069,12341414343344,14,400 meters x 400 meters,23,,,143.8,37,,,"[[[50.0185352620787, 26.445518159828975], [50.02212852321517, 26.445518159828975], [50.02212852321517, 26.442300858931826], [50.0185352620787, 26.442300858931826], [50.0185352620787, 26.445518159828975]]]","POLYGON ((50.0185352620787 26.445518159828975, 50.02212852321517 26.445518159828975, 50.02212852321517 26.442300858931826, 50.0185352620787 26.442300858931826, 50.0185352620787 26.445518159828975))",POINT (50.020331892646944 26.4439095093804),True
92,36076,12341443113242,14,400 meters x 400 meters,1345,807.0,538.0,8406.3,28,29.0,27.0,"[[[50.20538484117556, 26.203971778978897], [50.20897810231204, 26.203971778978897], [50.20897810231204, 26.200747760692092], [50.20538484117556, 26.200747760692092], [50.20538484117556, 26.203971778978897]]]","POLYGON ((50.20538484117556 26.203971778978897, 50.20897810231204 26.203971778978897, 50.20897810231204 26.200747760692092, 50.20538484117556 26.200747760692092, 50.20538484117556 26.203971778978897))",POINT (50.207181471743795 26.202359769835496),True
93,36078,12341441313414,14,400 meters x 400 meters,1515,975.0,540.0,9468.8,33,35.0,29.0,"[[[50.1981983189026, 26.297429441032612], [50.201791580039085, 26.297429441032612], [50.201791580039085, 26.29420801500768], [50.1981983189026, 26.29420801500768], [50.1981983189026, 26.297429441032612]]]","POLYGON ((50.1981983189026 26.297429441032612, 50.201791580039085 26.297429441032612, 50.201791580039085 26.29420801500768, 50.1981983189026 26.29420801500768, 50.1981983189026 26.297429441032612))",POINT (50.199994949470835 26.295818728020144),True
