id,generalCategory,center.lat,center.lng,bounds.north,bounds.south,bounds.east,bounds.west,Restaurants,Finance & Services,Health,Food & Dining,Retail & Shopping,Beauty & Wellness,Hotels & Hospitality,Home & Construction Services,Education,Coffee Shops,Entertainment & Recreation,Transportation & Travel,Public & Government Services,Religious Institutions,POI Density,Avg Rating - Food & Dining,Population Within 3km,Avg Num of Reviewers - All POIs,Residential Average Price
1,1,26.333333333333336,50.128,26.34,26.326666666666668,50.136,50.12,3,3,0,8,10,0,0,0,1,5,2,8,1,4,31,4.325,45512,296.60869565217394,31625.0
2,1,26.333333333333336,50.14399999999999,26.34,26.326666666666668,50.152,50.136,4,5,0,7,10,4,0,0,2,2,3,4,2,3,36,3.957142857142857,69784,219.49019607843127,36445.0
3,1,26.333333333333336,50.16,26.34,26.326666666666668,50.16799999999999,50.152,11,2,0,17,14,3,0,0,0,6,2,5,0,4,43,4.05,80703,281.7735849056604,38455.0
4,1,26.333333333333336,50.176,26.34,26.326666666666668,50.184,50.168,2,2,0,8,17,2,4,0,1,6,0,1,0,4,33,4.4125,87699,185.6136363636364,36575.0
5,1,26.333333333333336,50.19199999999999,26.34,26.326666666666668,50.2,50.184,1,1,3,2,9,1,0,0,2,1,1,5,0,0,20,4.0,95362,166.01923076923077,21184.0
5,1,26.333333333333336,50.19199999999999,26.34,26.326666666666668,50.2,50.184,1,1,3,2,9,1,0,0,2,1,1,5,0,0,20,4.0,95362,166.01923076923077,78487.0
6,1,26.32,50.128,26.326666666666664,26.313333333333333,50.136,50.12,7,4,1,8,3,4,4,0,1,0,1,3,2,1,30,3.971428571428572,34038,108.54,31625.0
7,1,26.32,50.14399999999999,26.326666666666664,26.313333333333333,50.152,50.136,3,1,0,5,5,3,0,0,0,2,0,5,4,1,22,3.6,67086,74.35714285714286,31625.0
8,1,26.32,50.16,26.326666666666664,26.313333333333333,50.16799999999999,50.152,9,2,1,13,14,3,1,0,5,4,4,0,2,5,45,3.930769230769231,76654,288.537037037037,38455.0
9,1,26.32,50.176,26.326666666666664,26.313333333333333,50.184,50.168,4,1,0,6,12,2,0,0,3,2,3,6,1,9,40,3.866666666666666,94514,218.64,38455.0
10,1,26.32,50.19199999999999,26.326666666666664,26.313333333333333,50.2,50.184,4,0,1,9,10,2,0,0,4,6,3,1,1,4,32,4.275,148735,51.78947368421053,46367.0
11,1,26.306666666666665,50.128,26.313333333333333,26.3,50.136,50.12,4,4,2,7,7,1,1,0,2,3,4,2,4,1,31,4.428571428571429,24810,154.45238095238096,31625.0
12,1,26.306666666666665,50.14399999999999,26.313333333333333,26.3,50.152,50.136,4,1,1,7,5,2,1,0,10,3,1,3,0,2,30,4.433333333333334,38079,88.7948717948718,0.0
13,1,26.306666666666665,50.16,26.313333333333333,26.3,50.16799999999999,50.152,5,6,0,6,11,0,0,0,1,1,1,0,0,0,24,3.983333333333333,62702,489.075,38455.0
14,1,26.306666666666665,50.176,26.313333333333333,26.3,50.184,50.168,4,2,2,9,19,1,8,0,0,5,0,0,1,1,39,3.966666666666667,127825,1444.655172413793,32904.0
15,1,26.306666666666665,50.19199999999999,26.313333333333333,26.3,50.2,50.184,10,3,4,14,12,1,1,0,4,4,1,1,0,1,35,4.0,236492,625.28,43898.0
