id,generalCategory,center.lat,center.lng,bounds.north,bounds.south,bounds.east,bounds.west,Health,Food & Dining,Finance & Services,Religious Institutions,Transportation & Travel,Entertainment & Recreation,Home & Construction Services,Restaurants,Public & Government Services,Retail & Shopping,Beauty & Wellness,Education,Hotels & Hospitality,Coffee Shops,POI Density,Avg Rating - Food & Dining,Population Within 3km,Avg Num of Reviewers - All POIs,Residential Average Price,Commercial Average Price,score
10,1,26.343385198434788,50.17998370361329,26.35005051856644,26.33671987830314,50.18798370361329,50.17198370361329,2,4,5,2,2,0,0,1,0,6,2,3,2,3,26,3.5,106098,162.3469387755102,67021.0,871,0.009125121477969577
11,1,26.33005455817149,50.11598370361328,26.33671987830314,26.323389238039844,50.12398370361328,50.107983703613286,0,8,9,2,8,3,0,1,1,8,1,2,0,8,34,4.0625,27919,279.68888888888887,31625.0,439,0.009125121477969577
14,1,26.33005455817149,50.16398370361328,26.33671987830314,26.323389238039844,50.171983703613286,50.15598370361329,1,23,3,3,0,0,0,16,0,16,2,5,0,8,47,3.965217391304348,80347,410.03636363636366,38455.0,2156,-0.017480515254437366
1,1,26.35671583869808,50.11598370361328,26.363381158829725,26.35005051856643,50.12398370361328,50.107983703613286,1,0,0,8,0,0,0,0,0,2,1,3,3,0,18,,61012,5.454545454545454,31845.0,634,-0.027112679749243144
3,1,26.35671583869808,50.14798370361329,26.363381158829725,26.35005051856643,50.15598370361329,50.13998370361329,0,0,0,10,1,4,0,0,0,0,0,2,0,0,17,,70672,85.51724137931035,53339.0,957,-0.027112679749243144
4,1,26.35671583869808,50.16398370361328,26.363381158829725,26.35005051856643,50.171983703613286,50.15598370361329,1,0,1,3,0,2,0,0,0,1,1,8,0,0,17,,71385,17.153846153846153,32770.0,250,-0.027112679749243144
8,1,26.343385198434788,50.14798370361329,26.35005051856644,26.33671987830314,50.15598370361329,50.13998370361329,0,12,7,1,1,0,0,9,1,10,6,1,0,2,35,4.025,70983,523.1296296296297,53339.0,957,-0.028840777868900772
15,1,26.33005455817149,50.17998370361329,26.33671987830314,26.323389238039844,50.18798370361329,50.17198370361329,1,23,2,1,3,3,0,12,0,15,3,1,0,12,39,4.21304347826087,89200,550.9166666666666,50926.0,975,-0.029239799671193535
2,1,26.35671583869808,50.13198370361329,26.363381158829725,26.35005051856643,50.13998370361328,50.12398370361328,2,6,1,4,0,2,0,3,0,7,6,3,1,2,28,4.24,63048,43.775510204081634,32547.0,398,-0.034797425556578984
7,1,26.343385198434788,50.13198370361329,26.35005051856644,26.33671987830314,50.13998370361328,50.12398370361328,0,5,3,9,3,3,0,4,1,9,3,10,1,0,44,3.8,55056,120.25,35682.0,803,-0.034797425556578984
9,1,26.343385198434788,50.16398370361328,26.35005051856644,26.33671987830314,50.171983703613286,50.15598370361329,6,5,1,7,2,2,0,3,0,17,6,10,0,1,49,3.96,87948,47.19607843137255,36575.0,751,-0.034797425556578984
5,1,26.35671583869808,50.17998370361329,26.363381158829725,26.35005051856643,50.18798370361329,50.17198370361329,7,6,3,1,3,1,0,4,0,8,0,2,1,2,26,3.96,110044,287.70212765957444,39702.0,720,-0.03655970856031896
13,1,26.33005455817149,50.14798370361329,26.33671987830314,26.323389238039844,50.15598370361329,50.13998370361329,0,9,4,2,4,3,0,7,1,10,3,2,0,2,36,4.0,72038,242.53061224489795,28195.0,652,-0.054796317549624725
12,1,26.33005455817149,50.13198370361329,26.33671987830314,26.323389238039844,50.13998370361328,50.12398370361328,0,11,5,2,4,0,0,5,0,11,0,0,0,6,26,4.300000000000001,53486,139.38636363636363,31625.0,439,-0.05482116271921693
6,1,26.343385198434788,50.11598370361328,26.35005051856644,26.33671987830314,50.12398370361328,50.107983703613286,4,4,1,2,4,2,0,3,0,3,1,3,1,1,24,3.85,46950,118.625,31845.0,634,-0.05549986957969823
